submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397201,zzmmzz,28.856 (1),0.8114 (1),3.000 (12),0.0 (2),1.0 (1),
397158,chenyunjin_ULSee,28.581 (2),0.8043 (3),0.150 (2),0.0 (2),0.0 (2),
397670,sparkfirer,28.570 (3),0.8057 (2),4.170 (13),0.0 (2),0.0 (2),
397276,Heewon,28.519 (4),0.8033 (4),1.650 (9),0.0 (2),0.0 (2),
396779,nicheng,28.519 (5),0.8029 (5),0.166 (3),0.0 (2),0.0 (2),
397620,iorism,28.339 (6),0.7987 (6),1.400 (8),0.0 (2),0.0 (2),
394189,cskzh,27.290 (7),0.7684 (7),0.200 (4),0.0 (2),0.0 (2),
397548,phunghx,26.224 (8),0.7424 (8),0.900 (7),0.0 (2),0.0 (2),
396881,giangbui,25.775 (9),0.7294 (10),0.500 (6),1.0 (1),0.0 (2),
397629,lanpa,25.773 (10),0.7316 (9),2.000 (10),0.0 (2),0.0 (2),
392181,xjc_faceall,25.163 (11),0.6994 (11),0.150 (2),0.0 (2),0.0 (2),
396755,sonam,23.763 (12),0.6621 (12),5.036 (14),0.0 (2),0.0 (2),
392174,rathorro,21.709 (13),0.5716 (14),0.025 (1),1.0 (1),0.0 (2),
397238,spectrum,21.470 (14),0.5570 (15),0.300 (5),1.0 (1),0.0 (2),
397132,hewavithara,21.135 (15),0.6052 (13),5.750 (15),0.0 (2),0.0 (2),
397062,rosinwang,20.304 (16),0.5451 (16),2.900 (11),0.0 (2),0.0 (2),
