submission_pk,User,satisfied,imprediff,revenue,interscore,intrascore
405525,qxzzxq,260.00 (1),0.0000 (1),73.2620 (1),3.2920 (4),8.1090 (8),
404793,hackathon-by-jcdecaux,257.00 (2),0.0000 (1),71.7180 (2),4.4750 (9),8.9610 (10),
402373,vfour,243.00 (3),0.0010 (2),67.6150 (3),5.3320 (10),8.8430 (9),
402384,VeritableSaucisseDeMontbeliard,235.00 (4),0.0000 (1),66.7930 (4),3.5710 (6),5.6640 (1),
402377,BoF,232.00 (5),0.0010 (2),65.5420 (5),3.6310 (7),7.6620 (4),
402405,cassini,204.00 (6),0.0010 (2),58.3270 (6),4.1450 (8),7.9900 (6),
402371,matthieu,79.00 (7),0.9950 (4),23.9380 (7),3.4900 (5),7.2150 (3),
402381,Les_Charrettes,70.00 (8),2.8120 (5),13.8570 (8),2.1970 (2),8.0930 (7),
402412,DEC,34.00 (9),6.1050 (6),9.4230 (9),2.2100 (3),6.1990 (2),
402423,projectx,1.00 (10),0.0070 (3),0.2030 (10),2.0370 (1),7.8930 (5),
