submission_pk,User,Accuracy,Recall,Precision,F1
415177,sadit,0.8444 (1),0.8472 (4),0.8404 (2),0.84 (1),
415135,job80,0.8384 (2),0.8266 (7),0.8564 (1),0.84 (2),
415172,octavioloyola,0.8340 (3),0.8688 (1),0.7868 (6),0.83 (5),
415179,dmocteo,0.8336 (4),0.8379 (5),0.8272 (3),0.83 (3),
415132,migue,0.8308 (5),0.8653 (2),0.7836 (7),0.82 (8),
415154,Phenix,0.8280 (6),0.8201 (9),0.8404 (2),0.83 (4),
415171,mgraffg,0.8246 (7),0.8287 (6),0.8184 (5),0.82 (6),
415131,andres,0.8244 (8),0.8576 (3),0.7780 (8),0.82 (9),
415175,ClaudiaSanchez,0.8230 (9),0.8231 (8),0.8228 (4),0.82 (7),
415178,argenis,0.7804 (10),0.7836 (10),0.7748 (9),0.78 (10),
