submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
437577,cbaziotis,0.767 (2),0.584 (3),,,,,,,,,,,
437502,hardik.meisheri,0.735 (4),0.526 (6),,,,,,,,,,,
433133,jhpark,0.773 (1),0.601 (2),,,,,,,,,,,
437504,majkar,0.721 (5),0.564 (4),,,,,,,,,,,
440374,Habibeh,0.740 (3),0.609 (1),,,,,,,,,,,
436538,wangmin,0.710 (6),0.472 (10),,,,,,,,,,,
437511,abhisheknkar,0.646 (10),0.516 (7),,,,,,,,,,,
439775,mooshow,0.662 (7),0.533 (5),,,,,,,,,,,
437162,Malak,0.649 (9),0.500 (8),,,,,,,,,,,
436970,dmikrav,0.659 (8),0.490 (9),,,,,,,,,,,
434844,phejimlin,0.372 (15),0.267 (15),,,,,,,,,,,
436067,kiksekage,0.493 (12),0.279 (14),,,,,,,,,,,
437526,zeornelas,0.505 (11),0.405 (12),,,,,,,,,,,
437048,AngelDeborahSuseelan,0.452 (13),0.448 (11),,,,,,,,,,,
432158,SVM_Unigrams_Baseline,0.427 (14),0.353 (13),,,,,,,,,,,
429868,Random_Baseline,-0.003 (16),0.032 (16),,,,,,,,,,,
436310,anasteam,-999.999 (17),-999.999 (17),,,,,,,,,,,
435362,velango,-999.999 (17),-999.999 (17),,,,,,,,,,,
436658,ISCLAB,-999.999 (17),-999.999 (17),,,,,,,,,,,
430430,lt3luna,-999.999 (17),-999.999 (17),,,,,,,,,,,
433333,Mabdou,-999.999 (17),-999.999 (17),,,,,,,,,,,
433230,pribanp,-999.999 (17),-999.999 (17),,,,,,,,,,,
434737,AK,-999.999 (17),-999.999 (17),,,,,,,,,,,
434727,ziyuan,-999.999 (17),-999.999 (17),,,,,,,,,,,
433492,zzx2017,-999.999 (17),-999.999 (17),,,,,,,,,,,
435917,orabia,-999.999 (17),-999.999 (17),,,,,,,,,,,
432455,hebe,-999.999 (17),-999.999 (17),,,,,,,,,,,
434989,veralilili,-999.999 (17),-999.999 (17),,,,,,,,,,,
432290,vicgalle,-999.999 (17),-999.999 (17),,,,,,,,,,,
441518,mhjabreel,-999.999 (17),-999.999 (17),,,,,,,,,,,
436293,danielfl,-999.999 (17),-999.999 (17),,,,,,,,,,,
442373,psyml,-999.999 (17),-999.999 (17),,,,,,,,,,,
428455,ztlbells,-999.999 (17),-999.999 (17),,,,,,,,,,,
436434,SamB,-999.999 (17),-999.999 (17),,,,,,,,,,,
436742,IntenseEmojis,-999.999 (17),-999.999 (17),,,,,,,,,,,
435135,sabino,-999.999 (17),-999.999 (17),,,,,,,,,,,
442655,Sumail_Fan,-999.999 (17),-999.999 (17),,,,,,,,,,,
