submission_pk,User,ARI (public),ARI (private)
439386,jamsic,1.0000 (1),0.9625 (1),
439381,akutuzov,0.9823 (2),0.7096 (2),
439374,ezhick179,1.0000 (1),0.6586 (3),
439380,akapustin,0.6520 (6),0.6459 (4),
439379,aby2s,1.0000 (1),0.5889 (5),
439382,bokan,0.7587 (5),0.5530 (6),
439375,panchenko,0.6278 (7),0.5275 (7),
439377,Pavel,0.9649 (3),0.4827 (8),
439384,eugenys,0.0115 (12),0.4377 (9),
439387,mikhal,1.0000 (1),0.4109 (10),
439385,fogside,0.6520 (6),0.3958 (11),
439391,thebestdeeplearningspecialist,0.8125 (4),0.3957 (12),
439388,nsu_ai,0.5659 (8),0.2410 (13),
439378,Pushkinue,0.1781 (10),0.1616 (14),
439390,sreya1,0.0249 (11),0.1287 (15),
439383,crowslord,0.0016 (13),0.1251 (16),
439389,ostruyanskiy,-0.0172 (14),0.0837 (17),
439372,lopuhin,0.3480 (9),0.0000 (18),
439392,tpederse,0.3480 (9),0.0000 (18),
439376,dustalov,0.3480 (9),0.0000 (18),
