submission_pk,User,<Rank>,MSE,PSNR,SSIM
470473,CVxTz,1.0000 (1),0.0191 (1),17.6640 (1),0.8426 (1),
469731,rgsl888,2.3333 (2),0.0239 (2),16.8363 (2),0.8069 (3),
470301,hcilab,3.3333 (3),0.0241 (3),16.6062 (3),0.8031 (4),
470583,sukeshadigav,4.0000 (4),0.0276 (6),16.4162 (4),0.8234 (2),
445151,umuguc,5.0000 (5),0.0252 (5),16.4098 (5),0.7954 (5),
446932,finlouarn,5.3333 (6),0.0251 (4),16.3992 (6),0.7904 (6),
462841,Xiaojing,7.0000 (7),0.0381 (7),14.6347 (7),0.6990 (7),
458466,BriceRauby,8.0000 (8),0.0398 (8),14.1740 (8),0.6954 (8),
470137,go,9.0000 (9),0.0414 (9),14.1710 (9),0.6709 (9),
468312,yashkotadia,10.0000 (10),0.0564 (10),12.7785 (10),0.6417 (10),
445272,yg,11.0000 (11),0.7282 (11),1.3781 (11),0.0001 (11),
