submission_pk,User,all,large,medium,small
1147808,jej,70.89 (1),77.65 (1),75.24 (1),58.45 (1),
445727,yuantailing,70.88 (2),77.65 (2),75.22 (2),58.45 (2),
1147797,group_five,64.71 (3),70.92 (3),67.83 (3),55.71 (3),
1147502,JackyLi,55.06 (4),56.50 (5),66.55 (4),41.92 (4),
507999,SunnyKnight,50.11 (5),62.52 (4),56.69 (5),30.41 (5),
submission_pk,User,all,large,medium,small
1147797,group_five,70.16 (1),75.02 (3),72.16 (3),64.05 (1),
1147808,jej,69.94 (2),76.13 (1),73.83 (1),60.82 (3),
445727,yuantailing,69.91 (3),76.12 (2),73.80 (2),60.83 (2),
1147502,JackyLi,62.94 (4),73.83 (4),69.95 (4),49.30 (4),
507999,SunnyKnight,56.81 (5),67.20 (5),63.12 (5),37.87 (5),
submission_pk,User,occluded,bgcomplex,distorted,raised,wordart,handwritten,~occluded,~bgcomplex,~distorted,~raised,~wordart,~handwritten
1147502,JackyLi,57.08 (1),63.24 (4),57.17 (4),66.71 (4),56.28 (4),48.12 (3),63.81 (4),62.82 (4),65.16 (4),61.25 (4),63.40 (4),63.06 (4),
1147808,jej,57.03 (2),67.75 (1),63.77 (2),70.59 (1),60.41 (1),54.30 (1),71.87 (2),70.78 (2),72.32 (1),69.65 (2),70.60 (2),70.06 (2),
445727,yuantailing,56.95 (3),67.74 (2),63.76 (3),70.58 (2),60.35 (2),54.18 (2),71.85 (3),70.75 (3),72.29 (2),69.61 (3),70.58 (3),70.04 (3),
1147797,group_five,53.84 (4),66.92 (3),65.00 (1),68.27 (3),58.80 (3),46.30 (4),72.60 (1),71.41 (1),72.15 (3),71.00 (1),70.95 (1),70.35 (1),
507999,SunnyKnight,37.75 (5),53.30 (5),46.94 (5),57.99 (5),49.24 (5),32.00 (5),59.66 (5),58.16 (5),60.62 (5),56.28 (5),57.34 (5),57.01 (5),
submission_pk,User,all,large,medium,small
1147808,jej,71.24 (1),78.20 (1),75.70 (1),59.86 (2),
445727,yuantailing,71.23 (2),78.19 (2),75.69 (2),59.87 (1),
1147797,group_five,65.68 (3),72.49 (3),68.80 (3),57.66 (3),
1147502,JackyLi,59.31 (4),68.89 (4),68.18 (4),43.87 (4),
507999,SunnyKnight,52.02 (5),64.67 (5),59.10 (5),33.21 (5),
submission_pk,User,all,large,medium,small
445727,yuantailing,70.61 (1),75.86 (2),73.18 (1),60.69 (1),
1147808,jej,70.60 (2),75.88 (1),73.16 (2),60.63 (2),
1147797,group_five,65.74 (3),71.31 (4),66.99 (4),58.38 (3),
1147502,JackyLi,61.47 (4),72.91 (3),67.21 (3),47.73 (4),
507999,SunnyKnight,51.78 (5),60.99 (5),56.09 (5),32.86 (5),
