submission_pk,User,Average AP
471510,R4D,0.5582 (1),
471413,MSRA,0.5332 (2),
471544,ChengChi,0.5030 (3),
471389,ayantian,0.5024 (4),
471446,kapok,0.4978 (5),
470835,qijiezhao,0.4955 (6),
470788,nemonameless,0.4955 (7),
469743,lapse21,0.4906 (8),
471438,Chuck,0.4899 (9),
471440,sfzhang,0.4891 (10),
470883,xiaode,0.4819 (11),
471500,TPUBGoQs,0.4774 (12),
471521,PiPiShou,0.4764 (13),
471403,bayu,0.4702 (14),
470930,yboshng,0.4665 (15),
470868,zsn100,0.4638 (16),
471182,luoyan,0.4611 (17),
470846,litttle_monster,0.4548 (18),
471406,primeday,0.4501 (19),
471384,lynnwater,0.4498 (20),
471197,JianLi,0.4480 (21),
471382,allfaces,0.4332 (22),
469308,lsobls,0.4193 (23),
467681,DragonBao,0.4060 (24),
467704,phunghx,0.3922 (25),
470785,westbrook,0.3756 (26),
470681,william,0.3742 (27),
471363,buritos000,0.3703 (28),
471344,nikita.samsonov,0.3490 (29),
470158,WANXINTIAN,0.3053 (30),
