submission_pk,User,F1-Bad,F1-Good,F1-Multi
468290,kf,0.4767 (1),0.9149 (4),0.4361 (1),
778643,tharindu,0.4098 (2),0.9310 (1),0.3815 (2),
531633,torshie,0.3997 (3),0.8846 (5),0.3535 (3),
479212,junjieh,0.3545 (4),0.8396 (8),0.2976 (4),
468263,carolscarton,0.3353 (5),0.8691 (6),0.2914 (5),
470506,mespla,0.2260 (6),0.8622 (7),0.1948 (6),
467787,fblain,0.1973 (7),0.9184 (3),0.1812 (7),
469129,bicici,0.0927 (8),0.9235 (2),0.0856 (8),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
778643,tharindu,0.1509 (1),0.9886 (1),0.1492 (1),
469129,bicici,0.1360 (2),0.9878 (2),0.1343 (2),
470506,mespla,0.1200 (3),0.9817 (4),0.1178 (3),
468263,carolscarton,0.1100 (4),0.9840 (3),0.1082 (4),
531633,torshie,0.0000 (5),0.0000 (5),0.0000 (5),
467787,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
468290,kf,0.0000 (5),0.0000 (5),0.0000 (5),
479212,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
778643,tharindu,0.3183 (1),0.9290 (1),0.2957 (1),
468263,carolscarton,0.3140 (2),0.8412 (3),0.2642 (2),
469129,bicici,0.0337 (3),0.9209 (2),0.0310 (3),
531633,torshie,0.0000 (4),0.0000 (4),0.0000 (4),
467787,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
470506,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
468290,kf,0.0000 (4),0.0000 (4),0.0000 (4),
479212,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
