submission_pk,User,PQ,SQ,RQ,PQ Things,SQ Things,RQ Things,PQ Stuff,SQ Stuff,RQ Stuff
511516,jimchen,0.494 (1),0.813 (3),0.596 (1),0.573 (1),0.830 (4),0.684 (1),0.375 (1),0.788 (4),0.463 (1),
663016,yisu.zhou,0.473 (2),0.819 (2),0.568 (3),0.541 (4),0.837 (2),0.640 (5),0.372 (3),0.790 (3),0.458 (2),
644469,qiaofeili,0.472 (3),0.820 (1),0.564 (5),0.547 (3),0.840 (1),0.644 (3),0.358 (4),0.791 (2),0.441 (4),
500405,qingpei.gqp,0.468 (4),0.788 (6),0.564 (4),0.572 (2),0.835 (3),0.678 (2),0.310 (6),0.716 (11),0.392 (5),
503036,Eyecool,0.467 (5),0.804 (4),0.570 (2),0.530 (5),0.813 (5),0.644 (4),0.373 (2),0.792 (1),0.458 (3),
491506,SiemensMobilityAI,0.399 (6),0.777 (8),0.488 (6),0.470 (6),0.808 (6),0.568 (6),0.292 (8),0.730 (7),0.368 (8),
491488,yog2000,0.399 (6),0.777 (8),0.488 (6),0.470 (6),0.808 (6),0.568 (6),0.292 (8),0.730 (7),0.368 (8),
545931,cychang,0.386 (7),0.779 (7),0.473 (8),0.435 (9),0.800 (9),0.529 (9),0.313 (5),0.748 (6),0.388 (6),
472566,RN50-Mask-R-CNN_RN50-FPN-sem.,0.386 (7),0.764 (9),0.475 (7),0.462 (7),0.802 (7),0.562 (7),0.271 (9),0.708 (13),0.345 (9),
476195,darwin,0.356 (8),0.758 (10),0.446 (9),0.437 (8),0.785 (11),0.541 (8),0.236 (10),0.716 (10),0.302 (11),
491954,sagieppel,0.332 (9),0.792 (5),0.409 (10),0.349 (13),0.800 (8),0.428 (13),0.305 (7),0.781 (5),0.380 (7),
477162,MMAP,0.313 (10),0.744 (12),0.408 (11),0.376 (12),0.754 (14),0.485 (10),0.217 (12),0.728 (9),0.290 (12),
510678,ENNAJIHYassin,0.301 (11),0.748 (11),0.375 (12),0.394 (10),0.794 (10),0.484 (11),0.162 (14),0.678 (14),0.211 (14),
476449,ddegeus,0.269 (12),0.724 (14),0.357 (13),0.293 (15),0.721 (15),0.392 (14),0.233 (11),0.730 (8),0.304 (10),
476870,cheneeheng,0.261 (13),0.740 (13),0.329 (14),0.309 (14),0.761 (13),0.386 (15),0.190 (13),0.710 (12),0.244 (13),
474100,d.katsios,0.227 (14),0.485 (15),0.285 (15),0.378 (11),0.784 (12),0.474 (12),0.000 (15),0.034 (15),0.000 (15),
