submission_pk,User,MaxGM,GM,TPR,TNR
1135208,m_123,0.814 (1),0.814 (1),0.806 (8),0.821 (5),
820958,chmayer,0.812 (2),0.812 (2),0.796 (12),0.828 (4),
956481,baumb,0.809 (3),0.809 (3),0.806 (9),0.812 (6),
1138889,m_456,0.805 (4),0.805 (4),0.803 (10),0.808 (7),
957261,pmach,0.799 (5),0.799 (5),0.827 (4),0.772 (11),
828089,AlphaBin,0.782 (6),0.782 (6),0.841 (2),0.727 (16),
1028384,zj,0.778 (7),0.778 (7),0.823 (5),0.736 (14),
1025474,JianqiuChen,0.768 (8),0.768 (8),0.737 (24),0.801 (9),
918408,XiangXU,0.767 (9),0.767 (9),0.819 (7),0.718 (17),
1025494,mkg,0.765 (10),0.765 (10),0.737 (24),0.794 (10),
734903,ultio791,0.763 (11),0.763 (11),0.791 (13),0.736 (14),
1009254,zzbin,0.763 (12),0.763 (12),0.821 (6),0.709 (18),
488148,MSRA_MSM,0.757 (13),0.757 (13),0.675 (32),0.848 (2),
1025481,yyds,0.755 (14),0.755 (14),0.681 (30),0.837 (3),
986405,dontfollowmeimcrazy,0.754 (15),0.754 (15),0.842 (1),0.676 (21),
1126807,zzybeihang,0.754 (16),0.754 (16),0.827 (3),0.687 (19),
1145792,chubinfei,0.751 (17),0.751 (17),0.749 (21),0.754 (12),
512673,Daikenan,0.751 (17),0.751 (17),0.749 (21),0.754 (12),
1147861,cqf,0.742 (18),0.742 (18),0.750 (20),0.734 (15),
481374,bossxuan,0.741 (19),0.741 (19),0.625 (41),0.879 (1),
514416,voigtlaender,0.723 (20),0.723 (20),0.701 (28),0.745 (13),
514595,full,0.661 (21),0.661 (21),0.543 (44),0.805 (8),
824630,doraiba2008,0.633 (22),0.633 (22),0.660 (35),0.606 (22),
666735,YPZhang,0.620 (23),0.620 (23),0.565 (43),0.680 (20),
651578,ccdbb,0.607 (24),0.607 (24),0.647 (37),0.568 (23),
693372,zdm,0.598 (25),0.598 (25),0.659 (36),0.544 (26),
824599,doraiba2020,0.598 (26),0.598 (26),0.640 (38),0.559 (24),
693183,AlexZen,0.589 (27),0.589 (27),0.632 (39),0.548 (25),
970809,Amjin,0.576 (28),0.571 (28),0.758 (19),0.430 (29),
970807,Amgao,0.575 (29),0.568 (29),0.770 (14),0.418 (30),
971475,Am2021,0.567 (30),0.557 (30),0.762 (16),0.407 (31),
481313,Siam_test,0.544 (31),0.544 (31),0.609 (42),0.485 (27),
967351,yk58,0.541 (32),0.524 (33),0.727 (25),0.378 (32),
967290,yk57,0.536 (33),0.534 (32),0.625 (40),0.456 (28),
895837,zikun,0.498 (34),0.418 (34),0.765 (15),0.228 (34),
1147222,cbf,0.484 (35),0.341 (37),0.800 (11),0.145 (36),
651549,bian_tianling,0.479 (36),0.404 (35),0.703 (27),0.233 (33),
735862,SkyMax96,0.459 (37),0.371 (36),0.670 (33),0.206 (35),
544832,siamrpn,0.448 (38),0.277 (38),0.715 (26),0.107 (37),
972142,GD-DiMP,0.436 (39),0.000 (39),0.760 (17),0.000 (38),
972084,Bm2021,0.436 (40),0.000 (39),0.759 (18),0.000 (38),
972100,RLS-DiMP,0.432 (41),0.000 (39),0.746 (22),0.000 (38),
651066,tlb96,0.430 (42),0.000 (39),0.740 (23),0.000 (38),
691978,PDW0520,0.417 (43),0.000 (39),0.694 (29),0.000 (38),
492720,B612,0.412 (44),0.000 (39),0.679 (31),0.000 (38),
1146894,fu1112,0.409 (45),0.000 (39),0.669 (34),0.000 (38),
1030498,cuizhiyan,0.357 (46),0.000 (39),0.510 (45),0.000 (38),
517439,sanbaobao,0.347 (47),0.000 (39),0.483 (46),0.000 (38),
511663,AHUWangXiao,0.340 (48),0.000 (39),0.463 (47),0.000 (38),
963800,twopole,0.334 (49),0.000 (39),0.446 (48),0.000 (38),
509927,xiaowangcvpr,0.320 (50),0.000 (39),0.410 (49),0.000 (38),
474556,jvlmdr,0.313 (51),0.000 (39),0.391 (50),0.000 (38),
492572,RISE_Chris,0.188 (52),0.000 (39),0.141 (51),0.000 (38),
