submission_pk,User,Dice,Dice,Dice,Positive Predictive Value,Positive Predictive Value,Positive Predictive Value,Sensitivity,Sensitivity,Sensitivity,Hausdorff,Hausdorff,Hausdorff,Kappa,Rank,Rank,Rank,Overall Rank
,Complete,Core,Enhancing,Complete,Core,Enhancing,Complete,Core,Enhancing,Complete,Core,Enhancing,Complete,Core,Enhancing
231,NJT4N,0.742 (1),0.692 (3),0.831 (1),23.156 (2),0.988 (1),1.667 (1),1.667 (1),,,,,,,,,,,,,,,,
241,raphael.meier,0.690 (2),0.707 (1),0.730 (2),46.424 (4),0.984 (2),1.667 (1),2.167 (2),,,,,,,,,,,,,,,,
261,nicolas.cordier,0.648 (4),0.685 (4),0.660 (4),16.295 (1),0.983 (3),4.000 (3),3.167 (3),,,,,,,,,,,,,,,,
191,a55586,0.675 (3),0.704 (2),0.696 (3),77.129 (5),0.981 (4),2.667 (2),3.333 (4),,,,,,,,,,,,,,,,
1481,sjmercer,0.542 (5),0.616 (5),0.532 (5),42.487 (3),0.958 (5),5.000 (4),4.667 (5),,,,,,,,,,,,,,,,
submission_pk,User,Dice,Dice,Sensitivity,Sensitivity,Specificity,Specificity,Hausdorff,Hausdorff,Kappa,Rank,Rank,Overall Rank
,Complete,Core,Complete,Core,Complete,Core,Complete,Core,Complete,Core
191,a55586,0.000 (1),0.000 (1),0.000 (1),1000.000 (1),0.000 (1),1.000 (1),1.000 (1),,,,,,,,,,,
231,NJT4N,0.000 (1),0.000 (1),0.000 (1),1000.000 (1),0.000 (1),1.000 (1),1.000 (1),,,,,,,,,,,
241,raphael.meier,0.000 (1),0.000 (1),0.000 (1),1000.000 (1),0.000 (1),1.000 (1),1.000 (1),,,,,,,,,,,
261,nicolas.cordier,0.000 (1),0.000 (1),0.000 (1),1000.000 (1),0.000 (1),1.000 (1),1.000 (1),,,,,,,,,,,
1481,sjmercer,0.000 (1),0.000 (1),0.000 (1),1000.000 (1),0.000 (1),1.000 (1),1.000 (1),,,,,,,,,,,
