submission_pk,User,accuracy
997651,singultek,93.43 (1),
620549,jianghm,85.29 (2),
523126,begab,78.00 (3),
533601,sime-nlp,77.57 (4),
782736,jaymundra,74.79 (5),
757020,rohangpt,72.64 (6),
489539,AI21-Labs,72.14 (7),
683199,smtabasi,69.93 (8),
607415,sen,69.07 (9),
1116798,jklj077,68.00 (10),
684549,dloureiro,67.93 (11),
661322,brockmanmatt,67.00 (12),
888141,_rjflynn,66.79 (13),
865025,kanishka,66.50 (14),
757075,yorko,66.21 (15),
497308,Linlin,63.43 (16),
1136000,dxutokyo,62.86 (17),
482600,CamachoCollados,50.00 (18),
