submission_pk,User,QAC,PAC
494707,ewrfcas,89.70675 (1),56.40000 (1),
505097,RichardRui,87.62055 (2),49.80000 (2),
487051,sixEstates,83.84176 (3),36.60000 (3),
491297,nkuzhangyi,80.12202 (4),26.00000 (4),
491271,Decalogue,78.29167 (5),25.80000 (5),
487034,huifei,76.69750 (6),13.60000 (9),
491293,wyxlzsq,76.42196 (7),17.80000 (6),
486624,ndsc01,75.33950 (8),14.40000 (8),
487017,X-X,75.10333 (9),15.40000 (7),
487011,niji123,74.41449 (10),12.40000 (10),
486790,HelloNil,72.87935 (11),11.00000 (12),
486814,berton,71.40327 (12),11.60000 (11),
486625,luckyboys,71.26550 (13),10.80000 (13),
486619,CMRC_2019,70.00590 (14),8.20000 (15),
486858,HKP,68.90376 (15),9.80000 (14),
486653,renxingkai,68.45109 (16),8.00000 (16),
