submission_pk,User,Average AP,FPS
692507,yuyangHe,0.5759 (1),- (-),
486721,JuneZhang,0.5756 (2),- (-),
486903,pfluo,0.5635 (3),- (-),
484986,ReRe,0.5512 (4),- (-),
486722,icekernel,0.5509 (5),- (-),
486931,wsj_zz,0.5483 (6),- (-),
483314,Hisign,0.5450 (7),- (-),
485101,sjwang_echo,0.5428 (8),- (-),
484786,wsj,0.5428 (9),- (-),
483273,maybe_forever,0.5373 (10),- (-),
485285,hzw2018,0.5367 (11),- (-),
518779,sjw,0.5276 (12),- (-),
483041,hzw2018,0.5261 (13),- (-),
482859,xyma,0.5213 (14),- (-),
538976,god_tang,0.5211 (15),- (-),
489466,swfearp,0.5201 (16),- (-),
524381,MZKN,0.5193 (17),- (-),
506413,wqm123,0.5192 (18),- (-),
483772,icekernel,0.5189 (19),- (-),
486437,Hanson,0.5181 (20),- (-),
501936,wuqiman,0.5173 (21),- (-),
485105,kkun,0.5164 (22),- (-),
481439,god,0.5157 (23),- (-),
486516,DogTu,0.5151 (24),- (-),
486983,weisy,0.5123 (25),- (-),
486961,deepsmart,0.5103 (26),- (-),
485334,Olzhike,0.5085 (27),- (-),
483867,swfearp,0.5085 (27),- (-),
486873,Zhi,0.5052 (28),- (-),
487146,lt1103725556,0.4991 (29),- (-),
482044,tfboy,0.4901 (30),- (-),
659339,queuejaay,0.4800 (31),- (-),
487420,kurnianggoro,0.4759 (32),- (-),
485031,wqm,0.4731 (33),- (-),
492175,Dark-Knight,0.4705 (34),- (-),
522019,Andy93,0.4651 (35),- (-),
487158,wqm123,0.4637 (36),- (-),
571094,abface,0.4630 (37),- (-),
483227,Sheka,0.4540 (38),- (-),
490842,EM-DATA,0.4487 (39),- (-),
508553,Queequeg,0.4460 (40),- (-),
512993,casia2018,0.4203 (41),- (-),
483781,Zhou,0.4157 (42),- (-),
482056,SanerZ,0.4121 (43),- (-),
536931,antcc,0.4068 (44),- (-),
620820,thefallen66633,0.3722 (45),- (-),
897565,santapo,0.3722 (46),- (-),
897568,santapo102,0.3722 (46),- (-),
1007378,detectface,0.3654 (47),- (-),
620767,blue_rose_17193,0.2886 (48),- (-),
626462,erasromani,0.2509 (49),- (-),
836140,Yashveer,0.2478 (50),- (-),
484491,saagara_m_b,0.0007 (51),- (-),
1048202,Luis_Cossio,0.0000 (52),- (-),
483222,saagara,0.0000 (52),- (-),
