submission_pk,User,EER
493073,matejkap,0.0126 (1),
493108,TZ,0.0149 (2),
493088,DKU-TVM,0.0169 (3),
490258,dgromero,0.0169 (3),
490121,chienlinhuang,0.0187 (4),
492914,mmclaren,0.0189 (5),
492979,liumeng,0.0192 (6),
493076,LiyongGuo,0.0195 (7),
482104,nsysu-test,0.0207 (8),
493080,minsookim,0.0211 (9),
493096,sixsixsix,0.0215 (10),
492775,zhangruiteng,0.0218 (11),
492760,Shelly_Zhou,0.0240 (12),
493050,jac,0.0244 (13),
483387,Jenthe,0.0245 (14),
490206,mogambo,0.0258 (15),
486841,dbird,0.0266 (16),
491075,Livefull,0.0277 (17),
486860,SHYU_test,0.0279 (18),
493102,Sangwon,0.0287 (19),
489218,janyoti,0.0320 (20),
488467,a.yamshinin,0.0332 (21),
484584,RibotOT,0.0369 (22),
489322,zs_test,0.0382 (23),
492597,mlinxiang,0.0394 (24),
483903,jean_e,0.0429 (25),
485624,swpark,0.0441 (26),
492711,dintas,0.0446 (27),
487484,k.anup,0.0660 (28),
491408,BritPop,0.0730 (29),
481681,vgg,0.1140 (30),
484690,ur0,0.1457 (31),
490296,umair.khan,0.3102 (32),
483014,Jonty800,0.4091 (33),
483027,kwh1990,0.4882 (34),
