submission_pk,User,BLEU-1,METEOR,ROUGE-L
901352,LHblack,0.75 (1),0.71 (1),0.76 (1),
501869,PingAnLifeInsuranceAI,0.73 (2),0.70 (2),0.75 (2),
501986,mengqingyang0102,0.73 (3),0.70 (4),0.75 (3),
506446,WeLoveAI,0.73 (4),0.70 (3),0.75 (4),
1122809,lwestfall,0.72 (5),0.68 (5),0.74 (5),
624898,sabur,0.69 (6),0.66 (6),0.71 (6),
641262,TZX,0.69 (7),0.66 (7),0.71 (7),
506995,FlyWalk,0.66 (8),0.63 (8),0.68 (8),
1086941,crypto,0.64 (9),0.62 (9),0.67 (9),
565625,jihun,0.56 (10),0.51 (10),0.61 (10),
577550,jaewooj,0.47 (11),0.42 (11),0.52 (11),
