submission_pk,User,Global Mean,J-Mean,J-Recall,J-Decay,F-Mean,F-Recall,F-Decay
619595,pengzhang0x,0.841 (1),0.815 (1),0.891 (1),0.142 (10),0.867 (1),0.929 (2),0.161 (10),
619525,captain,0.838 (2),0.811 (2),0.884 (2),0.181 (7),0.865 (2),0.933 (1),0.178 (8),
619131,hongje,0.795 (3),0.770 (3),0.857 (3),0.149 (9),0.821 (4),0.896 (4),0.171 (9),
619597,tmtriet,0.793 (4),0.765 (4),0.851 (4),0.101 (11),0.821 (3),0.907 (3),0.120 (11),
619041,hzxie,0.769 (5),0.744 (5),0.827 (5),0.205 (5),0.795 (5),0.869 (6),0.236 (4),
619372,vltanh,0.760 (6),0.733 (6),0.819 (6),0.166 (8),0.787 (6),0.872 (5),0.196 (7),
617157,JingshanXu,0.750 (7),0.722 (7),0.804 (7),0.184 (6),0.777 (7),0.856 (7),0.219 (6),
619328,littleboy,0.722 (8),0.698 (8),0.767 (8),0.207 (4),0.746 (8),0.830 (8),0.230 (5),
619106,littleboy,0.705 (9),0.680 (9),0.747 (9),0.222 (3),0.729 (9),0.807 (9),0.249 (3),
619294,mingmingdiii,0.699 (10),0.676 (10),0.741 (10),0.242 (2),0.722 (10),0.802 (10),0.270 (2),
619183,Mustansar,0.649 (11),0.625 (11),0.721 (11),0.242 (1),0.673 (11),0.767 (11),0.277 (1),
