submission_pk,User,AP,AP50,AP75,APm,APl
498292,soeaver,0.72 (1),0.94 (1),0.85 (1),0.65 (1),0.74 (1),
645439,dp_rcnn_R_101_FPN_DL_s1x,0.67 (2),0.92 (3),0.80 (2),0.60 (2),0.70 (2),
645468,dp_rcnn_R_50_FPN_DL_s1x,0.66 (3),0.92 (6),0.79 (3),0.58 (3),0.69 (3),
488203,wangxuanhan,0.65 (4),0.92 (4),0.78 (4),0.57 (4),0.68 (4),
487382,COCO2018-soeaver,0.65 (5),0.93 (2),0.78 (5),0.56 (6),0.67 (5),
488092,zgkk,0.64 (6),0.92 (5),0.77 (6),0.56 (5),0.66 (6),
502042,NeteaseGameAI_Waterdrop,0.61 (7),0.91 (7),0.73 (7),0.50 (10),0.64 (7),
487383,COCO2018-Min_Byeonguk,0.60 (8),0.91 (8),0.70 (9),0.51 (9),0.62 (8),
487381,COCO2018-ML_LAB,0.59 (9),0.90 (10),0.69 (11),0.52 (7),0.61 (10),
485982,DensePose_R101_FPN_32x8d_s1x_e,0.58 (10),0.90 (9),0.70 (10),0.51 (8),0.61 (11),
487380,COCO2018-yuchen.ma,0.58 (11),0.88 (11),0.71 (8),0.48 (11),0.62 (9),
485984,DensePose_R101_FPN_32x8d_s1x,0.54 (12),0.87 (13),0.63 (12),0.47 (12),0.58 (12),
485986,DensePose_R101_FPN_s1x-e2e,0.54 (13),0.88 (12),0.63 (13),0.46 (13),0.57 (13),
485985,DensePose_R101_FPN_s1x,0.53 (14),0.86 (14),0.61 (14),0.44 (14),0.57 (14),
487389,DensePose_R50_FPN_s1x-e2e,0.52 (15),0.86 (15),0.58 (15),0.44 (15),0.55 (15),
485988,DensePose_R50_FPN_s1x-e2e,0.52 (15),0.86 (15),0.58 (15),0.44 (15),0.55 (15),
485989,DensePose_R50_FPN_s1x,0.51 (16),0.85 (16),0.57 (16),0.43 (16),0.54 (16),
