submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
631959,JianhuaHan,0.58 (1),0.76 (1),0.64 (1),0.72 (1),0.62 (1),0.43 (1),0.87 (1),0.41 (1),0.69 (1),0.74 (1),0.78 (1),0.61 (1),
646185,ZFTurbo,0.56 (2),0.74 (3),0.61 (2),0.70 (2),0.60 (2),0.40 (3),0.85 (2),0.40 (2),0.67 (2),0.72 (2),0.76 (2),0.57 (2),
684276,tongxiao.rtx,0.54 (3),0.74 (3),0.58 (4),0.68 (6),0.58 (4),0.40 (2),0.82 (7),0.40 (3),0.65 (4),0.69 (5),0.72 (5),0.55 (3),
508778,ChunyuXie,0.54 (4),0.73 (4),0.59 (3),0.68 (5),0.58 (3),0.39 (4),0.85 (3),0.40 (4),0.66 (3),0.71 (3),0.74 (3),0.55 (4),
615610,jerryz,0.53 (5),0.72 (5),0.57 (5),0.68 (4),0.57 (5),0.37 (5),0.82 (8),0.39 (5),0.64 (5),0.68 (6),0.71 (7),0.52 (7),
1101576,CedricPicron,0.52 (6),0.72 (5),0.57 (6),0.68 (7),0.56 (9),0.36 (6),0.82 (9),0.39 (6),0.64 (6),0.67 (7),0.71 (8),0.51 (8),
488524,youtube_test,0.52 (7),0.71 (6),0.56 (7),0.67 (9),0.56 (6),0.35 (9),0.81 (11),0.39 (7),0.63 (7),0.67 (8),0.70 (9),0.51 (9),
669569,Guyz,0.51 (8),0.70 (10),0.57 (6),0.65 (12),0.54 (13),0.35 (10),0.84 (5),0.39 (8),0.65 (4),0.70 (4),0.73 (4),0.53 (5),
495144,nemonameless,0.51 (9),0.71 (7),0.56 (8),0.67 (9),0.55 (10),0.34 (11),0.82 (10),0.39 (9),0.62 (9),0.66 (10),0.70 (10),0.49 (11),
499118,huochen,0.51 (10),0.70 (9),0.55 (10),0.66 (10),0.55 (12),0.33 (12),0.81 (12),0.38 (11),0.62 (10),0.65 (11),0.70 (11),0.48 (12),
498715,RomanticWithoutStatus,0.51 (10),0.70 (9),0.55 (10),0.66 (10),0.55 (12),0.33 (12),0.81 (12),0.38 (11),0.62 (10),0.65 (11),0.70 (11),0.48 (12),
612805,sleeplessai,0.50 (11),0.75 (2),0.56 (9),0.61 (16),0.56 (8),0.35 (8),0.75 (22),0.37 (17),0.59 (17),0.62 (17),0.67 (19),0.47 (14),
598987,yossibiton,0.50 (11),0.70 (10),0.55 (11),0.63 (13),0.55 (11),0.36 (7),0.80 (14),0.38 (13),0.63 (8),0.67 (7),0.72 (6),0.53 (6),
1124289,conna,0.50 (12),0.69 (11),0.55 (12),0.67 (8),0.56 (7),0.32 (14),0.82 (7),0.38 (12),0.61 (13),0.64 (13),0.70 (10),0.44 (19),
502969,ccs1997,0.50 (13),0.70 (8),0.54 (14),0.69 (3),0.53 (16),0.29 (19),0.80 (15),0.38 (13),0.61 (14),0.65 (12),0.69 (14),0.48 (13),
531771,ikiikii,0.49 (14),0.68 (13),0.54 (13),0.62 (14),0.53 (15),0.32 (13),0.80 (13),0.38 (10),0.62 (10),0.65 (11),0.70 (12),0.49 (10),
1136369,kasurashan,0.48 (15),0.68 (12),0.52 (16),0.65 (11),0.52 (17),0.31 (15),0.84 (4),0.38 (14),0.61 (12),0.65 (12),0.70 (13),0.44 (20),
911001,Xstephen,0.48 (16),0.67 (14),0.53 (15),0.62 (15),0.51 (20),0.31 (16),0.83 (6),0.37 (16),0.62 (11),0.66 (9),0.70 (12),0.46 (15),
1104994,Moriarty_Yang,0.48 (17),0.66 (16),0.52 (17),0.60 (19),0.54 (14),0.31 (15),0.79 (17),0.36 (18),0.60 (16),0.63 (15),0.69 (15),0.45 (17),
497907,lanting,0.47 (18),0.64 (20),0.51 (18),0.60 (17),0.51 (19),0.30 (18),0.79 (16),0.37 (15),0.60 (15),0.64 (14),0.68 (16),0.46 (16),
1078052,huanglin,0.46 (19),0.65 (19),0.51 (19),0.58 (23),0.52 (18),0.30 (17),0.77 (20),0.36 (21),0.58 (20),0.62 (18),0.68 (17),0.43 (21),
500192,lefttthomas,0.46 (20),0.67 (15),0.49 (21),0.59 (21),0.50 (21),0.28 (20),0.77 (21),0.36 (20),0.57 (22),0.61 (19),0.65 (22),0.42 (22),
498037,god,0.45 (21),0.64 (21),0.49 (22),0.60 (20),0.48 (23),0.27 (22),0.78 (18),0.36 (19),0.59 (18),0.62 (17),0.66 (21),0.45 (18),
510304,eseop90,0.45 (22),0.66 (17),0.50 (20),0.60 (18),0.50 (22),0.27 (23),0.75 (23),0.36 (21),0.56 (23),0.59 (20),0.64 (23),0.39 (24),
664821,EU-IMP,0.44 (23),0.60 (27),0.49 (23),0.55 (27),0.48 (25),0.27 (21),0.77 (19),0.36 (23),0.58 (19),0.63 (16),0.66 (20),0.44 (20),
1033262,mhlight,0.44 (24),0.64 (20),0.48 (24),0.58 (23),0.48 (26),0.26 (24),0.72 (27),0.35 (24),0.54 (25),0.56 (25),0.60 (30),0.36 (29),
524821,hong,0.44 (25),0.61 (25),0.47 (25),0.58 (23),0.48 (24),0.25 (26),0.79 (16),0.36 (22),0.58 (21),0.62 (17),0.67 (18),0.41 (23),
534689,Govolkin,0.42 (26),0.61 (25),0.46 (26),0.56 (24),0.46 (28),0.25 (28),0.71 (30),0.34 (26),0.54 (26),0.56 (24),0.60 (29),0.36 (30),
812213,harithajith,0.42 (27),0.62 (23),0.45 (27),0.55 (26),0.46 (28),0.25 (27),0.73 (26),0.34 (25),0.54 (24),0.58 (22),0.61 (26),0.39 (25),
648404,Zhihao,0.42 (28),0.59 (31),0.45 (28),0.59 (22),0.46 (27),0.20 (38),0.74 (24),0.34 (27),0.53 (27),0.56 (27),0.60 (28),0.32 (37),
666147,amol.sadasivan,0.42 (29),0.63 (22),0.45 (29),0.53 (28),0.45 (29),0.26 (25),0.69 (33),0.34 (28),0.52 (29),0.55 (29),0.58 (34),0.37 (26),
1012348,liqih,0.41 (30),0.62 (24),0.43 (30),0.60 (20),0.44 (30),0.21 (37),0.82 (10),0.33 (29),0.54 (25),0.58 (21),0.63 (24),0.33 (35),
531454,Conor,0.39 (31),0.60 (30),0.42 (32),0.51 (34),0.43 (31),0.23 (30),0.71 (29),0.33 (30),0.52 (29),0.56 (26),0.60 (31),0.37 (27),
684008,BinghongWu,0.39 (32),0.58 (32),0.42 (34),0.52 (32),0.43 (32),0.21 (34),0.72 (28),0.33 (31),0.52 (31),0.55 (28),0.59 (32),0.33 (34),
647966,ZhaoKun-Xu,0.39 (32),0.60 (29),0.43 (31),0.51 (35),0.43 (34),0.23 (31),0.68 (34),0.32 (33),0.51 (32),0.53 (30),0.56 (35),0.34 (33),
509466,EnzoKai,0.39 (33),0.56 (36),0.41 (36),0.53 (31),0.41 (38),0.21 (36),0.74 (25),0.33 (32),0.53 (28),0.57 (23),0.62 (25),0.36 (28),
727965,stefano.blumberg,0.39 (34),0.60 (28),0.42 (33),0.50 (39),0.42 (36),0.23 (29),0.66 (38),0.31 (36),0.50 (33),0.52 (32),0.56 (36),0.33 (34),
917021,nobugs,0.38 (35),0.57 (34),0.41 (35),0.50 (37),0.42 (35),0.22 (33),0.72 (28),0.32 (34),0.52 (30),0.56 (26),0.61 (27),0.36 (31),
666730,revanth802,0.38 (36),0.54 (38),0.41 (36),0.56 (25),0.42 (37),0.18 (40),0.63 (40),0.31 (37),0.44 (41),0.44 (40),0.48 (44),0.21 (44),
666118,Kailashnath,0.38 (36),0.54 (38),0.41 (36),0.56 (25),0.42 (37),0.18 (40),0.63 (40),0.31 (37),0.44 (41),0.44 (40),0.48 (44),0.21 (44),
