submission_pk,User,F1,P,R
564767,p.karisani,0.70 (1),0.6782 (2),0.72 (4),
518786,aab213,0.67 (2),0.6081 (9),0.75 (3),
515963,leebean337,0.67 (3),0.6000 (10),0.76 (2),
652599,Sarthak,0.65 (4),0.6618 (5),0.65 (7),
488662,manrajsingh,0.65 (5),0.6974 (1),0.60 (11),
759644,p_bagher,0.65 (6),0.6707 (3),0.62 (9),
495287,prady,0.64 (7),0.6605 (6),0.62 (8),
508675,sgondane,0.64 (8),0.6136 (8),0.66 (6),
490257,zutshianand,0.64 (9),0.6702 (4),0.61 (10),
518735,dy,0.54 (10),0.6472 (7),0.46 (12),
615798,tanayjkayastha,0.51 (11),0.3764 (11),0.79 (1),
488865,marco.basaldella,0.46 (12),0.3440 (12),0.69 (5),
submission_pk,User,relaxed F1,relaxed P,relaxed R,strict F1,strict P,strict R
488865,marco.basaldella,- (-),,,,,,
518786,aab213,- (-),,,,,,
508675,sgondane,- (-),,,,,,
488662,manrajsingh,- (-),,,,,,
495287,prady,- (-),,,,,,
518735,dy,- (-),,,,,,
490257,zutshianand,- (-),,,,,,
615798,tanayjkayastha,- (-),,,,,,
652599,Sarthak,- (-),,,,,,
515963,leebean337,- (-),,,,,,
759644,p_bagher,- (-),,,,,,
564767,p.karisani,- (-),,,,,,
submission_pk,User,relaxed F1,relaxed P,relaxed R,strict F1,strict P,strict R
488865,marco.basaldella,- (-),,,,,,
518786,aab213,- (-),,,,,,
508675,sgondane,- (-),,,,,,
488662,manrajsingh,- (-),,,,,,
495287,prady,- (-),,,,,,
518735,dy,- (-),,,,,,
490257,zutshianand,- (-),,,,,,
615798,tanayjkayastha,- (-),,,,,,
652599,Sarthak,- (-),,,,,,
515963,leebean337,- (-),,,,,,
759644,p_bagher,- (-),,,,,,
564767,p.karisani,- (-),,,,,,
submission_pk,User,Acc,F1,P,R
488865,marco.basaldella,- (-),,,,
518786,aab213,- (-),,,,
508675,sgondane,- (-),,,,
488662,manrajsingh,- (-),,,,
495287,prady,- (-),,,,
518735,dy,- (-),,,,
490257,zutshianand,- (-),,,,
615798,tanayjkayastha,- (-),,,,
652599,Sarthak,- (-),,,,
515963,leebean337,- (-),,,,
759644,p_bagher,- (-),,,,
564767,p.karisani,- (-),,,,
submission_pk,User,Acc,F,P,R
488865,marco.basaldella,- (-),,,,
518786,aab213,- (-),,,,
508675,sgondane,- (-),,,,
488662,manrajsingh,- (-),,,,
495287,prady,- (-),,,,
518735,dy,- (-),,,,
490257,zutshianand,- (-),,,,
615798,tanayjkayastha,- (-),,,,
652599,Sarthak,- (-),,,,
515963,leebean337,- (-),,,,
759644,p_bagher,- (-),,,,
564767,p.karisani,- (-),,,,
submission_pk,User,Acc,F,P,R
488865,marco.basaldella,- (-),,,,
518786,aab213,- (-),,,,
508675,sgondane,- (-),,,,
488662,manrajsingh,- (-),,,,
495287,prady,- (-),,,,
518735,dy,- (-),,,,
490257,zutshianand,- (-),,,,
615798,tanayjkayastha,- (-),,,,
652599,Sarthak,- (-),,,,
515963,leebean337,- (-),,,,
759644,p_bagher,- (-),,,,
564767,p.karisani,- (-),,,,
submission_pk,User,Acc,F,P,R
488865,marco.basaldella,- (-),,,,
518786,aab213,- (-),,,,
508675,sgondane,- (-),,,,
488662,manrajsingh,- (-),,,,
495287,prady,- (-),,,,
518735,dy,- (-),,,,
490257,zutshianand,- (-),,,,
615798,tanayjkayastha,- (-),,,,
652599,Sarthak,- (-),,,,
515963,leebean337,- (-),,,,
759644,p_bagher,- (-),,,,
564767,p.karisani,- (-),,,,
