submission_pk,User,score,EN,ET,HR,FI,SL
575061,jorge.reyes,0.723 (1),0.723 (1),0.0 (1),0.613 (3),0.597 (3),0.487 (7),
574687,dloureiro,0.720 (2),0.720 (2),0.0 (1),0.565 (4),0.354 (7),0.483 (9),
574367,somaia,0.719 (3),0.719 (3),0.0 (1),0.000 (13),0.000 (13),0.000 (13),
574584,aina.gari,0.718 (4),0.718 (4),0.0 (1),0.000 (13),0.492 (4),0.000 (13),
576312,hansih,0.715 (5),0.715 (5),0.0 (1),0.545 (5),0.645 (1),0.573 (2),
570997,will_go,0.695 (6),0.695 (6),0.0 (1),0.385 (10),0.341 (8),0.485 (8),
575256,HonoMi,0.695 (7),0.695 (7),0.0 (1),0.616 (2),0.255 (12),0.510 (6),
555131,gamallo,0.687 (8),0.687 (8),0.0 (1),0.473 (6),0.000 (13),0.538 (3),
578348,bicici,0.647 (9),0.647 (9),0.0 (1),0.402 (8),0.289 (10),0.516 (5),
574712,tmelo,0.634 (10),0.634 (10),0.0 (1),0.658 (1),0.611 (2),0.579 (1),
562046,tthhanh,0.573 (11),0.573 (11),0.0 (1),0.402 (7),0.289 (11),0.516 (4),
570663,Ferryman,0.437 (12),0.437 (12),0.0 (1),0.397 (9),0.357 (6),0.345 (12),
574105,gunes,0.342 (13),0.342 (13),0.0 (1),0.322 (12),0.290 (9),0.385 (11),
574699,Reem-2,0.340 (14),0.340 (14),0.0 (1),0.338 (11),0.454 (5),0.411 (10),
574425,giu_rmb,0.099 (15),0.099 (15),0.0 (1),0.000 (13),0.000 (13),0.000 (13),
