submission_pk,User,Subtask A Accuracy,Subtask B Accuracy,Subtask C BLEU
749158,maddy771,100.0 (1),0.0 (22),0.0 (15),
748888,alunturing,100.0 (1),0.0 (22),0.0 (15),
578096,Roweida_Mohammed,96.2 (2),0.0 (22),0.0 (15),
576350,xlx,96.1 (3),93.8 (3),0.0 (15),
578773,Solomon,96.0 (4),94.0 (2),19.3 (4),
576413,zellford,95.9 (5),91.2 (8),0.0 (15),
575747,josefjon,95.8 (6),93.1 (5),22.4 (1),
588542,ieiu,95.6 (7),0.0 (22),0.0 (15),
749680,hafsa_321_A,95.1 (8),0.0 (22),0.0 (15),
575980,sirwe.saeedi,94.7 (9),93.7 (4),17.2 (5),
614166,prateekgoel06,94.3 (10),0.0 (22),0.0 (15),
749114,i170343,94.2 (11),0.0 (22),0.0 (15),
617468,emran,93.9 (12),0.0 (22),0.0 (15),
669368,emran_bash,93.9 (12),93.1 (5),15.8 (8),
576970,lijunyi,93.8 (13),0.0 (22),0.0 (15),
749553,Rabeah_005_D,93.6 (14),0.0 (22),0.0 (15),
746287,a2zeexpert,93.0 (15),0.0 (22),0.0 (15),
605682,neutralino,92.9 (16),0.0 (22),0.0 (15),
602635,CarreyWong,92.9 (16),89.7 (9),12.9 (11),
575551,aliosm,92.9 (16),92.3 (6),16.1 (7),
602274,sanchit,92.8 (17),0.0 (22),0.0 (15),
749492,SajidAli_070_C,91.7 (18),0.0 (22),0.0 (15),
749819,Hamza_491_E,91.6 (19),68.3 (21),2.2 (14),
749265,Hamna_295_C,91.2 (20),0.0 (22),0.0 (15),
751038,Junaid_405_A,90.0 (21),0.0 (22),0.0 (15),
749252,Rimsha,89.8 (22),0.0 (22),0.0 (15),
748981,Zahid_035_D,89.6 (23),0.0 (22),0.0 (15),
748162,Ramen_086_C,89.6 (23),0.0 (22),0.0 (15),
593193,baiyang2581,89.5 (24),0.0 (22),0.0 (15),
749419,kamranali046,89.4 (25),0.0 (22),0.0 (15),
749139,hassanX,89.4 (25),0.0 (22),0.0 (15),
748645,AbdulJalil_160_D,89.3 (26),0.0 (22),0.0 (15),
576653,TMLab,89.2 (27),82.0 (14),5.4 (13),
749124,Tanzeel,89.0 (28),0.0 (22),0.0 (15),
749053,Daniyal_411_E,88.9 (29),0.0 (22),0.0 (15),
748714,Saad_046_E,88.9 (29),0.0 (22),0.0 (15),
579366,S.L.Liu,88.9 (29),0.0 (22),0.0 (15),
624469,wiem,88.7 (30),85.3 (11),7.1 (12),
751376,Asad_312_A,88.5 (31),68.3 (21),0.0 (15),
748565,Talal_118_A,88.4 (32),0.0 (22),0.0 (15),
748708,SibghatUllah_291_D,88.2 (33),0.0 (22),0.0 (15),
748080,Mahnoor_0241_C,88.1 (34),0.0 (22),0.0 (15),
748443,Areeba_052_C,88.1 (34),0.0 (22),0.0 (15),
580071,Warren,87.9 (35),0.0 (22),0.0 (15),
748683,Anas_043_D,87.7 (36),0.0 (22),0.0 (15),
749552,Raja-Salman-Tariq,87.6 (37),0.0 (22),0.0 (15),
748666,Farhan_170242_E,87.3 (38),0.0 (22),0.0 (15),
749647,FarhanKhalidButt,87.2 (39),0.0 (22),0.0 (15),
748967,Namrah_018_C,86.9 (40),0.0 (22),0.0 (15),
603063,thanet.mar,86.8 (41),72.3 (20),0.0 (15),
749582,Waqar_249_C,86.2 (42),0.0 (22),0.0 (15),
749482,Hamza_307_D,86.2 (42),0.0 (22),0.0 (15),
626858,lojin96,86.0 (43),0.0 (22),0.0 (15),
578930,alzboun_saad,85.8 (44),0.0 (22),0.0 (15),
601569,Nbstein,85.1 (45),80.6 (15),0.0 (15),
749075,Hasan_272_D,84.9 (46),0.0 (22),0.0 (15),
749335,codeconnoisseur,84.8 (47),0.0 (22),0.0 (15),
749163,shaheer_i170271_B,84.5 (48),0.0 (22),0.0 (15),
749352,Mughees_311_E,84.1 (49),0.0 (22),0.0 (15),
749517,numan98khan,83.6 (50),0.0 (22),0.0 (15),
748613,Rajaa_339_A,83.3 (51),0.0 (22),0.0 (15),
749537,furrukhkhan10,83.0 (52),0.0 (22),0.0 (15),
749677,Faheem_061_D,82.8 (53),0.0 (22),0.0 (15),
576323,ehsantaher,82.5 (54),79.3 (17),0.0 (15),
749528,asfandbarki,82.3 (55),0.0 (22),0.0 (15),
