submission_pk,User,"CTR (q0.500), %","CTR (q0.025), %","CTR (q0.975), %",Time (seconds)
523035,ykaneko1992,2.249 (1),2.174 (1),2.326 (1),92.6 (19),
523047,bakanaouji,1.935 (2),1.866 (2),2.006 (2),227.0 (22),
521238,LeClanDesSemiCroustillants,1.649 (3),1.585 (3),1.715 (3),673.6 (25),
521361,Smlep,1.633 (4),1.570 (4),1.699 (4),70.4 (18),
521174,blanc_o,1.545 (5),1.483 (5),1.609 (5),54.9 (2),
516386,neatest_neighbours,1.517 (6),1.456 (6),1.580 (6),160.7 (21),
520693,Nebraw,1.446 (7),1.386 (7),1.508 (7),58.4 (9),
521344,On100Fou,1.437 (8),1.378 (8),1.499 (8),159.3 (20),
502875,MartinB,1.434 (9),1.374 (9),1.495 (9),55.7 (4),
507828,HeMingKai,1.424 (10),1.364 (10),1.485 (10),57.1 (6),
520093,qttruong,1.416 (11),1.356 (11),1.477 (11),2529.3 (28),
520692,Oui,1.415 (12),1.356 (12),1.476 (12),58.6 (10),
520752,goulagman,1.412 (13),1.353 (13),1.473 (14),60.0 (13),
507337,KarachunMichael,1.412 (14),1.353 (14),1.473 (13),56.3 (5),
518936,MMB,1.409 (15),1.349 (15),1.470 (15),58.0 (8),
508633,DeusExMachina,1.402 (16),1.343 (16),1.463 (16),55.5 (3),
516450,ari,1.402 (17),1.343 (17),1.463 (17),59.1 (12),
518579,Stolt,1.398 (18),1.339 (18),1.458 (18),58.9 (11),
509321,Criteo,1.396 (19),1.337 (19),1.456 (19),64.8 (17),
507582,brunoseznec,1.374 (20),1.315 (20),1.434 (20),57.3 (7),
502826,ihtiihti,1.368 (21),1.309 (21),1.428 (21),63.1 (15),
521150,FabiCim,1.327 (22),1.270 (22),1.386 (22),806.1 (26),
521315,bx,1.308 (23),1.251 (23),1.367 (23),266.8 (23),
520695,AdremDataLab,1.121 (24),1.068 (24),1.175 (24),2979.2 (29),
521261,AlpT96,1.070 (25),1.018 (25),1.123 (25),371.0 (24),
516874,woawry-haures,1.050 (26),0.999 (26),1.103 (26),62.5 (14),
521192,epita-rema,1.028 (27),0.978 (27),1.080 (27),2445.0 (27),
519200,bishop,0.966 (28),0.918 (28),1.017 (28),63.2 (16),
520340,numericlee,-1.000 (29),-1.000 (29),-1.000 (29),NaN (1),
