submission_pk,User,MAP,MRR
565088,cointegrated,0.4033 (1),0.4432 (2),
562138,Yuriy,0.4032 (2),0.4596 (1),
584221,alvadia,0.3798 (3),0.4240 (3),
579367,vvyadrincev,0.3342 (4),0.3832 (4),
565128,xeno,0.3331 (5),0.3653 (6),
565143,RefalMachine,0.3249 (6),0.3719 (5),
565146,joystick,0.3067 (7),0.3529 (7),
567107,lilaspourpre,0.2759 (8),0.3183 (9),
539054,Parkat13,0.2756 (9),0.3110 (10),
739333,aleksei_pronkin,0.2717 (10),0.3209 (8),
564730,akutuzov,0.2135 (11),0.2455 (11),
541919,adhaesitadimo,0.1997 (12),0.2362 (12),
561996,vimary,0.1911 (13),0.2213 (13),
761217,Igor_Karpikov,0.1644 (14),0.1970 (14),
559852,ezhick179,0.1352 (15),0.1487 (15),
530877,s231644,0.0628 (16),0.0694 (16),
