submission_pk,User,MAE,RMSE,R
568449,Mixanik,6.94289 (1),10.68021 (1),0.75493 (1),
568497,AWoyczyk,7.92115 (2),14.37509 (3),0.58891 (2),
568369,PoWeiHuang,8.94626 (3),14.16263 (2),0.53531 (3),
568546,SHLAI,12.38949 (4),16.08538 (7),0.22547 (5),
560654,yuchun_wang,12.46439 (5),16.20117 (10),0.18898 (7),
568212,Simplar,12.48682 (6),15.83572 (4),0.18548 (8),
567942,yangyb,12.53826 (7),16.08765 (8),0.10077 (14),
567952,mayanbiao,12.54743 (8),16.06358 (6),0.10139 (13),
567949,liyuxin,12.57556 (9),15.97100 (5),0.09694 (16),
567913,yaoguorun,12.73557 (10),16.12572 (9),0.09998 (15),
567897,cvlab.nthu,12.73808 (11),16.34883 (12),0.21761 (6),
567977,shaoguowen,12.90892 (12),16.54261 (13),0.08033 (17),
568161,chenggj,12.91462 (13),16.57148 (14),0.15358 (10),
568157,legal,12.91462 (13),16.57148 (14),0.15358 (10),
567986,dlavender,13.01585 (14),17.30358 (17),0.06710 (18),
566427,cpi1976,13.25897 (15),16.28846 (11),0.00000 (23),
566047,baoqianyue,13.28824 (16),16.74968 (16),0.02195 (21),
565893,lg920810,13.39697 (17),17.86813 (19),0.27874 (4),
558815,mengtzu.chiu,13.55358 (18),17.45627 (18),0.16305 (9),
567978,lijingjdsun,13.63316 (19),16.65428 (15),0.05501 (19),
567343,CCCCoda,14.36682 (20),18.75101 (20),0.11018 (12),
567305,ylin,14.50666 (21),18.97367 (21),0.11282 (11),
568296,WeihuaOu,14.75637 (22),19.10806 (22),0.04032 (20),
564301,sunrise,15.68960 (23),19.74385 (23),0.00932 (22),
560119,wantsjean,20.12449 (24),25.55460 (24),-0.02370 (24),
