submission_pk,User,MinDCF,EER
602230,JTBD,0.0651 (1),1.45 (1),
602224,peng.shen,0.0740 (2),1.50 (2),
673852,RibotOT,0.0763 (3),1.71 (3),
602780,gbarbadillo,0.0765 (4),1.74 (4),
619632,dbird,0.0863 (5),1.88 (5),
602236,DeepMiner,0.0951 (6),2.00 (6),
602204,jvillalba,0.1051 (7),2.32 (7),
602195,zhangruiteng,0.1118 (8),2.69 (9),
602228,alumae,0.1178 (9),2.73 (11),
649170,xmuspeech506,0.1219 (10),2.58 (8),
602185,simonchik_k,0.1246 (11),2.84 (12),
602183,chauluu,0.1256 (12),3.05 (16),
602225,mrouvier,0.1261 (13),2.88 (13),
602210,chienlinhuang,0.1262 (14),2.93 (14),
602190,matejkap,0.1326 (15),2.70 (10),
602193,mariganeshkumar,0.1372 (16),3.01 (15),
616959,mryb,0.1567 (17),3.61 (18),
602197,rasim.ulgen,0.1646 (18),3.93 (22),
607470,NGteam,0.1658 (19),3.55 (17),
771836,GREAT,0.1688 (20),3.81 (19),
602214,HS,0.1779 (21),3.91 (21),
602186,meweve1701,0.1795 (22),3.91 (20),
602184,kejom62676,0.1802 (23),3.94 (23),
602233,Pochin,0.1889 (24),4.48 (28),
602201,anotherother,0.1945 (25),4.45 (26),
602205,day9011,0.1990 (26),5.17 (30),
602202,dintas,0.2014 (27),4.46 (27),
620774,FiberHome_AI_Lab_NanJing,0.2069 (28),4.27 (25),
602219,SunghwanMun,0.2073 (29),3.95 (24),
602212,ustc,0.2148 (30),6.06 (38),
602220,saxaha4776,0.2237 (31),5.02 (29),
619697,slotogram,0.2306 (32),5.45 (31),
603739,dezh,0.2374 (33),5.67 (32),
602218,speechgo,0.2415 (34),5.82 (34),
602221,localhost,0.2443 (35),5.90 (36),
602232,prash29,0.2533 (36),5.70 (33),
602227,linenej115,0.2636 (37),5.82 (35),
602188,hbredin,0.2646 (38),5.96 (37),
602199,meet.soni65,0.2680 (39),6.60 (40),
602216,BritPop,0.2754 (40),6.86 (42),
602237,Coder11,0.2760 (41),6.72 (41),
602213,kwh1990,0.2820 (42),6.38 (39),
602191,ee17resch01003,0.2841 (43),7.05 (43),
602206,Sreekanth,0.2910 (44),7.12 (44),
602231,dyyzhmm,0.3000 (45),7.44 (46),
602182,ayushayt,0.3017 (46),8.42 (50),
602179,takoyaki,0.3066 (47),7.13 (45),
602211,zxchen123,0.3388 (48),9.05 (52),
602194,david02,0.3405 (49),8.48 (51),
602196,mohsen,0.3545 (50),8.21 (48),
628235,divyeshrajpura,0.3665 (51),9.40 (53),
602209,fetexe4161,0.3760 (52),8.22 (49),
602222,fta,0.3786 (53),9.56 (54),
602198,juanmc2005,0.3903 (54),8.13 (47),
602223,leizhenchun,0.4199 (55),10.03 (56),
602215,abb.bas,0.4211 (56),9.90 (55),
602458,sdsvc,0.4324 (57),10.67 (57),
602235,NickZhang,0.4631 (58),11.12 (58),
643378,khoa_audio1,0.4634 (59),17.77 (62),
602217,rpawar7,0.5312 (60),12.60 (59),
602229,joanna,0.5325 (61),13.53 (60),
602208,huanhua,0.5356 (62),16.30 (61),
