submission_pk,User,Weighted F1,Weighted Recall,Precision
597260,jbrem,0.5540 (1),0.5528 (1),0.6612 (3),
597393,rakchada,0.5508 (2),0.4924 (2),0.7553 (2),
597303,sweagraw,0.4680 (3),0.4924 (3),0.5579 (4),
597399,jindra.helcl,0.4349 (4),0.4577 (4),0.5104 (5),
591693,STAPLE_aws_baseline,0.2810 (5),0.1893 (5),0.8680 (1),
591691,STAPLE_fairseq_baseline,0.1217 (6),0.1189 (6),0.1830 (6),
593380,Arvind,0.0000 (7),0.0000 (7),0.0000 (7),
597452,Masahiro,- (8),- (8),- (8),
597444,Anush,- (8),- (8),- (8),
597346,darkside,- (8),- (8),- (8),
597223,dcu,- (8),- (8),- (8),
597204,AntonVoronov,- (8),- (8),- (8),
597193,mzy,- (8),- (8),- (8),
597049,Nickeilf,- (8),- (8),- (8),
596971,jspak3,- (8),- (8),- (8),
submission_pk,User,Weighted F1,Weighted Recall,Precision
597260,jbrem,0.3177 (1),0.3547 (1),0.3921 (4),
597303,sweagraw,0.2935 (2),0.2817 (4),0.4543 (2),
597452,Masahiro,0.2828 (3),0.2914 (3),0.4090 (3),
597193,mzy,0.2591 (4),0.3325 (2),0.3114 (7),
597399,jindra.helcl,0.2128 (5),0.1993 (6),0.3670 (5),
597346,darkside,0.1936 (6),0.2116 (5),0.3516 (6),
591693,STAPLE_aws_baseline,0.0431 (7),0.0233 (7),0.7260 (1),
591691,STAPLE_fairseq_baseline,0.0334 (8),0.0213 (8),0.1633 (8),
597444,Anush,- (9),- (9),- (9),
597393,rakchada,- (9),- (9),- (9),
597223,dcu,- (9),- (9),- (9),
597204,AntonVoronov,- (9),- (9),- (9),
597049,Nickeilf,- (9),- (9),- (9),
596971,jspak3,- (9),- (9),- (9),
593380,Arvind,- (9),- (9),- (9),
submission_pk,User,Weighted F1,Weighted Recall,Precision
597260,jbrem,0.4035 (1),0.4518 (1),0.4794 (2),
596971,jspak3,0.3116 (2),0.3342 (2),0.4701 (3),
597303,sweagraw,0.2549 (3),0.3166 (3),0.3207 (5),
597399,jindra.helcl,0.2058 (4),0.1935 (4),0.3894 (4),
591691,STAPLE_fairseq_baseline,0.0487 (5),0.0315 (5),0.2194 (6),
591693,STAPLE_aws_baseline,0.0412 (6),0.0226 (6),0.6360 (1),
597452,Masahiro,- (7),- (7),- (7),
597444,Anush,- (7),- (7),- (7),
597393,rakchada,- (7),- (7),- (7),
597346,darkside,- (7),- (7),- (7),
597223,dcu,- (7),- (7),- (7),
597204,AntonVoronov,- (7),- (7),- (7),
597193,mzy,- (7),- (7),- (7),
597049,Nickeilf,- (7),- (7),- (7),
593380,Arvind,- (7),- (7),- (7),
submission_pk,User,Weighted F1,Weighted Recall,Precision
597049,Nickeilf,0.5510 (1),0.5163 (3),0.7410 (2),
597260,jbrem,0.5509 (2),0.5173 (2),0.7048 (4),
597393,rakchada,0.5439 (3),0.5011 (4),0.7206 (3),
597303,sweagraw,0.5242 (4),0.5369 (1),0.6242 (6),
597223,dcu,0.4597 (5),0.4378 (6),0.6318 (5),
597399,jindra.helcl,0.4084 (6),0.4381 (5),0.4988 (7),
597444,Anush,0.3050 (7),0.2761 (7),0.4591 (8),
591693,STAPLE_aws_baseline,0.2130 (8),0.1398 (8),0.8780 (1),
591691,STAPLE_fairseq_baseline,0.1357 (9),0.1170 (10),0.2825 (9),
597204,AntonVoronov,0.0988 (10),0.1346 (9),0.1317 (10),
597452,Masahiro,- (11),- (11),- (11),
597346,darkside,- (11),- (11),- (11),
597193,mzy,- (11),- (11),- (11),
596971,jspak3,- (11),- (11),- (11),
593380,Arvind,- (11),- (11),- (11),
submission_pk,User,Weighted F1,Weighted Recall,Precision
597260,jbrem,0.5556 (1),0.5693 (2),0.6403 (1),
597303,sweagraw,0.5369 (2),0.6032 (1),0.5736 (3),
597399,jindra.helcl,0.3771 (3),0.3684 (3),0.5159 (4),
591691,STAPLE_fairseq_baseline,0.2539 (4),0.2666 (4),0.3424 (5),
591693,STAPLE_aws_baseline,0.1983 (5),0.1358 (5),0.6300 (2),
597452,Masahiro,- (6),- (6),- (6),
597444,Anush,- (6),- (6),- (6),
597393,rakchada,- (6),- (6),- (6),
597346,darkside,- (6),- (6),- (6),
597223,dcu,- (6),- (6),- (6),
597204,AntonVoronov,- (6),- (6),- (6),
597193,mzy,- (6),- (6),- (6),
597049,Nickeilf,- (6),- (6),- (6),
596971,jspak3,- (6),- (6),- (6),
593380,Arvind,- (6),- (6),- (6),
