submission_pk,User,F1,Recall,Precision,Exact match (Task 2 only)
639858,Ms8qQxMbnjJMgYcw,0.977467 (1),0.977660 (1),0.977324 (1),-1.000000 (1),
638952,MariusI,0.975516 (2),0.975900 (2),0.975301 (2),-1.000000 (1),
639847,zsozso,0.972336 (3),0.971974 (3),0.972810 (3),-1.000000 (1),
639622,gupta_s,0.969889 (4),0.970349 (4),0.969583 (4),-1.000000 (1),
633568,karthikradhakrishnan96,0.961200 (5),0.960601 (5),0.961941 (5),-1.000000 (1),
639649,srivastavahv,0.957814 (6),0.958299 (6),0.957408 (6),-1.000000 (1),
616978,ishaanverma,0.949961 (7),0.949228 (7),0.950812 (7),-1.000000 (1),
637494,hariharanrl,0.943532 (8),0.948687 (8),0.943193 (8),-1.000000 (1),
638264,aladi_fhg,0.942909 (9),0.947604 (9),0.942031 (9),-1.000000 (1),
642832,ilknurkaradeniz,0.930859 (10),0.943271 (10),0.938895 (10),-1.000000 (1),
