submission_pk,User,F1,Accuracy,Precision,Recall
619588,bashartalafha,0.2903 (1),0.4507 (2),0.3470 (2),0.2762 (1),
619293,mekki,0.2716 (2),0.4065 (3),0.3332 (3),0.2577 (2),
616545,Alexa,0.2534 (3),0.4525 (1),0.4318 (1),0.2376 (6),
619365,ArabicProcessors,0.2501 (4),0.4059 (4),0.2942 (4),0.2366 (7),
619104,Ahmad_Beltagy,0.2443 (5),0.3950 (6),0.2731 (6),0.2340 (8),
612422,amaloraini,0.2433 (6),0.3922 (7),0.2509 (9),0.2449 (3),
619032,zeyad3ezzat,0.2405 (7),0.4021 (5),0.2547 (8),0.2379 (5),
618938,bharathib,0.2232 (8),0.3674 (10),0.2285 (11),0.2404 (4),
629126,moustafa_sherif,0.2130 (9),0.3544 (12),0.2406 (10),0.2058 (9),
628900,rowantahseen,0.2073 (10),0.3659 (11),0.2929 (5),0.1997 (10),
619169,licvol,0.1955 (11),0.3752 (9),0.2552 (7),0.1854 (11),
607652,youssef.kishk,0.1492 (12),0.3756 (8),0.2162 (12),0.1541 (12),
619026,Blintzkrieg,0.1231 (13),0.2943 (13),0.1312 (13),0.1266 (13),
