submission_pk,User,F1_Score,Precision,Recall
617936,nkoren,0.95 (1),0.91 (1),1.00 (1),
618035,ChenaoX,0.90 (2),0.86 (2),0.94 (7),
618025,minhuas,0.89 (3),0.84 (3),0.94 (7),
618030,JiuzhouHan,0.85 (4),0.84 (5),0.86 (15),
617934,kevintxu,0.82 (5),0.73 (9),0.94 (7),
617973,AL957037,0.82 (6),0.71 (12),0.97 (4),
618162,Fancye,0.81 (7),0.78 (6),0.85 (16),
618028,Shawn_wezw,0.79 (8),0.70 (18),0.90 (11),
618086,Yuetongl,0.79 (9),0.67 (26),0.95 (6),
618133,boyanz,0.78 (10),0.71 (13),0.87 (14),
617928,junw,0.78 (11),0.66 (30),0.97 (4),
617962,kflores,0.78 (12),0.73 (10),0.84 (17),
618012,tobi_sunqian,0.78 (13),0.67 (24),0.92 (9),
618098,frodo,0.78 (14),0.63 (39),1.00 (1),
618171,tianzhipengfei,0.77 (15),0.67 (27),0.92 (9),
618057,funny_joke,0.77 (15),0.67 (27),0.92 (9),
617935,mgnc,0.77 (16),0.70 (16),0.86 (15),
618054,musanzhouzi,0.77 (17),0.65 (31),0.93 (8),
618131,syjsyj,0.77 (18),0.84 (4),0.71 (30),
618129,KabirManandharShrestha,0.77 (19),0.71 (15),0.84 (17),
618180,yuey9,0.77 (20),0.68 (22),0.87 (14),
618051,hccao,0.76 (21),0.69 (20),0.86 (15),
617931,Whalien51,0.76 (22),0.61 (50),0.99 (2),
618059,mariavijiras,0.75 (23),0.62 (41),0.94 (7),
618085,wenqinl,0.75 (24),0.71 (14),0.79 (22),
618078,okaka,0.75 (25),0.62 (43),0.94 (7),
618004,siyangwww,0.74 (26),0.75 (8),0.74 (27),
617987,jxj1,0.74 (27),0.70 (17),0.79 (22),
618204,Yuhao_Song,0.74 (28),0.67 (25),0.83 (18),
617917,zongrul1,0.74 (28),0.67 (25),0.83 (18),
618115,CHENBANGH,0.74 (29),0.62 (46),0.93 (8),
618024,dstern_student,0.74 (30),0.61 (48),0.93 (8),
618070,Zexuj,0.73 (31),0.69 (21),0.79 (22),
617998,junchaow,0.73 (32),0.62 (45),0.90 (11),
618090,NING_JIN,0.73 (33),0.67 (23),0.80 (21),
618014,zhengw,0.73 (34),0.61 (53),0.91 (10),
618066,Junjie_Huang,0.73 (35),0.64 (34),0.84 (17),
617951,yichengj,0.73 (36),0.63 (38),0.85 (16),
618010,AbhinavSingh,0.72 (37),0.64 (35),0.82 (19),
618007,meicheny,0.72 (37),0.64 (35),0.82 (19),
618053,mpriymak,0.72 (38),0.58 (70),0.94 (7),
617999,ggarciamarti,0.72 (39),0.59 (65),0.92 (9),
617944,mmuhammadjul,0.72 (39),0.59 (65),0.92 (9),
617916,FanJiang,0.72 (39),0.61 (51),0.87 (14),
618182,JinjiKiko,0.72 (40),0.66 (28),0.78 (23),
617979,dabigcheez,0.72 (41),0.69 (19),0.74 (27),
618008,peiyongw,0.71 (42),0.62 (42),0.84 (17),
617954,wenruiz,0.71 (43),0.62 (46),0.85 (16),
618022,amertjusuar,0.71 (44),0.60 (57),0.88 (13),
618058,Lucaszyl,0.71 (45),0.65 (33),0.79 (22),
618186,chehaoc,0.71 (46),0.61 (49),0.85 (16),
618188,jiangxingyu,0.71 (47),0.59 (59),0.88 (13),
617919,XiaofeiisSad,0.71 (47),0.55 (94),0.99 (2),
618039,YunshengPang,0.71 (48),0.61 (52),0.85 (16),
618112,BonanZhang,0.71 (49),0.63 (37),0.80 (21),
618063,canhhaann,0.71 (50),0.60 (56),0.86 (15),
602589,MulinHHH,0.71 (51),0.58 (77),0.92 (9),
617929,wvihikan,0.71 (52),0.57 (81),0.93 (8),
618109,kasiezou,0.71 (53),0.71 (11),0.70 (31),
618038,yintaol,0.71 (54),0.61 (47),0.83 (18),
618020,chenfu,0.71 (54),0.61 (47),0.83 (18),
618143,curious_rohit,0.71 (55),0.59 (66),0.89 (12),
618144,mvalenta,0.70 (56),0.59 (64),0.88 (13),
618140,BlackAxe,0.70 (57),0.57 (83),0.92 (9),
617910,KanBu,0.70 (58),0.75 (7),0.66 (34),
617913,yingmingm,0.70 (59),0.57 (82),0.91 (10),
618074,Minshen_Lu,0.70 (60),0.59 (60),0.85 (16),
617925,kamayudi,0.70 (61),0.58 (72),0.88 (13),
618076,chehc,0.70 (62),0.66 (29),0.74 (27),
618108,Nastul,0.70 (63),0.57 (79),0.89 (12),
618072,yiii_liii,0.70 (64),0.60 (56),0.83 (18),
617989,ZIHANGZ,0.70 (65),0.56 (89),0.93 (8),
618191,YuGuo,0.70 (66),0.58 (67),0.86 (15),
618137,keepsad,0.70 (66),0.63 (40),0.78 (23),
618046,ptrehan,0.70 (67),0.58 (76),0.88 (13),
617922,renjiem,0.70 (67),0.58 (76),0.88 (13),
618121,davidlz,0.70 (68),0.54 (104),0.98 (3),
618092,ZMJ,0.69 (69),0.60 (55),0.82 (19),
