submission_pk,User,Pearson r,MAE,RMSE
652763,NiuTrans,0.8299 (1),0.4808 (7),0.6290 (8),
652497,tharindu,0.8222 (2),0.3722 (2),0.4737 (1),
650276,ssun32,0.8139 (3),0.3684 (1),0.4748 (2),
652649,Joao1996,0.7917 (4),0.4329 (4),0.5490 (4),
678667,jxnu_hxm,0.7895 (5),0.4441 (5),0.5686 (5),
651663,TMUOU,0.7849 (6),0.3967 (3),0.5109 (3),
642549,xc2019,0.7777 (7),1.4137 (14),1.5117 (14),
652679,mhkane_225,0.6868 (8),0.4523 (6),0.5938 (6),
652210,LisaIan,0.6620 (9),0.4856 (8),0.6122 (7),
652478,ddk,0.6044 (10),0.4972 (9),0.6483 (9),
651992,mfomicheva,0.6001 (11),0.7271 (11),0.8536 (11),
651941,leizhou,0.4879 (12),0.9182 (13),1.0459 (13),
728163,bicici,0.4856 (13),0.5662 (10),0.7688 (10),
600506,fblain,0.3860 (14),0.7353 (12),0.8713 (12),
