submission_pk,User,mAP,Rank-1,Rank-5,Rank-10,Rank-20,Rank-50
659582,vimar,76.56 (2),84.25 (1),89.58 (1),92.35 (1),94.40 (1),96.97 (2),
659572,Xiangyu,72.39 (4),83.85 (2),89.52 (2),91.83 (2),94.33 (2),96.44 (4),
659632,log,79.05 (1),83.26 (3),88.79 (4),91.36 (4),93.94 (3),94.59 (9),
658282,yxge,74.78 (3),82.86 (4),89.32 (3),91.56 (3),93.34 (4),96.64 (3),
657351,vimar,71.74 (5),80.22 (5),87.28 (5),90.51 (5),94.33 (2),97.36 (1),
659611,Archer2,70.39 (7),79.70 (6),85.96 (7),88.79 (7),91.69 (6),95.25 (8),
658085,PIO,69.89 (8),78.77 (7),86.62 (6),89.52 (6),91.96 (5),95.58 (7),
659576,PIO,70.42 (6),78.58 (8),85.76 (8),88.79 (7),91.43 (8),95.72 (6),
659634,username,69.77 (9),77.98 (9),85.30 (9),87.87 (8),91.56 (7),95.78 (5),
659461,ER,68.25 (10),75.08 (10),80.75 (11),83.26 (10),85.30 (13),88.66 (25),
659598,Covid-19,62.69 (11),70.53 (11),78.38 (14),81.61 (13),85.30 (13),90.77 (14),
659523,Anton.S,60.72 (15),70.20 (12),81.15 (10),85.83 (9),89.26 (9),94.13 (10),
659544,Dejun,61.96 (12),69.94 (13),78.51 (13),81.61 (13),85.89 (12),91.63 (13),
650536,whoiswho,61.49 (13),68.95 (14),79.76 (12),83.19 (11),87.41 (10),92.95 (11),
657911,YICHENG,60.97 (14),68.75 (15),77.92 (15),81.81 (12),86.09 (11),92.35 (12),
658287,xiaobaixiaobai,60.61 (16),68.36 (16),76.99 (17),80.09 (14),84.57 (15),90.18 (18),
657407,MollyW,58.91 (17),67.30 (17),77.72 (16),81.61 (13),84.90 (14),90.64 (16),
658834,THU-MIG,56.24 (18),65.46 (18),74.42 (18),77.92 (18),82.86 (18),89.32 (21),
657092,zhikang,54.41 (24),63.74 (19),73.30 (21),77.06 (21),80.55 (25),85.89 (29),
658841,use,55.29 (21),63.48 (20),73.83 (20),78.05 (16),82.66 (19),88.99 (22),
640977,SikaStar,52.72 (25),63.28 (21),72.45 (24),76.73 (22),80.62 (24),85.76 (30),
656681,matchaisyums,54.58 (23),62.62 (22),74.09 (19),77.46 (20),81.48 (23),87.67 (26),
659590,ppppl,55.40 (20),62.43 (23),73.17 (22),77.98 (17),82.53 (20),90.38 (17),
659595,albert153,54.97 (22),62.23 (24),72.97 (23),77.79 (19),83.12 (17),88.86 (23),
659633,dat,55.73 (19),61.96 (25),72.45 (24),76.73 (22),82.00 (21),89.45 (20),
643841,Raner,52.04 (26),60.58 (26),71.19 (26),75.41 (23),79.50 (26),86.42 (27),
647099,SLIDES,51.56 (27),59.33 (27),70.34 (28),75.35 (24),80.55 (25),86.22 (28),
656686,matchagreenteaa,50.83 (28),58.60 (28),70.73 (27),74.95 (26),79.30 (27),84.97 (33),
656703,greenteaisyums,50.83 (28),58.60 (28),70.73 (27),74.95 (26),79.30 (27),84.97 (33),
650083,Bruce,43.34 (33),58.40 (29),73.17 (22),78.51 (15),84.11 (16),90.71 (15),
642104,jyyqqq,41.46 (35),57.68 (30),71.98 (25),77.46 (20),83.12 (17),89.65 (19),
649671,kakakukuka,48.45 (29),56.23 (31),65.99 (30),70.34 (27),75.02 (29),80.29 (36),
659636,SigMe,46.95 (30),55.17 (32),64.47 (31),69.28 (29),74.29 (31),81.74 (34),
659509,MZH,44.90 (31),52.21 (33),60.91 (33),66.32 (31),72.12 (32),79.63 (37),
656369,baoqianyue,39.50 (36),52.14 (34),67.63 (29),75.15 (25),81.61 (22),88.73 (24),
649289,gglee,41.47 (34),49.84 (35),62.76 (32),69.61 (28),75.94 (28),85.43 (31),
659362,TTT1,44.61 (32),45.35 (36),55.90 (36),61.44 (33),67.57 (34),75.02 (39),
659567,Msingh,37.67 (38),43.84 (37),53.46 (37),59.53 (34),66.64 (35),73.76 (41),
658234,TEN1,37.69 (37),42.78 (38),52.54 (39),58.60 (36),64.73 (37),72.18 (42),
658709,yishi,31.96 (41),41.73 (39),57.88 (34),66.91 (30),74.88 (30),85.10 (32),
658492,darcy,36.43 (39),41.60 (40),52.54 (39),58.08 (37),64.54 (38),71.98 (43),
640948,May_112,35.11 (40),40.61 (41),53.07 (38),59.39 (35),66.32 (36),77.32 (38),
646991,thor,30.98 (43),40.21 (42),56.36 (35),64.14 (32),71.98 (33),81.28 (35),
656998,shuxj,31.15 (42),35.27 (43),46.93 (40),53.00 (38),60.05 (40),69.87 (44),
658258,dacai,27.49 (44),32.63 (44),45.42 (41),51.62 (40),58.34 (41),67.17 (45),
659542,TPereira,20.49 (45),24.52 (45),42.85 (42),52.34 (39),62.49 (39),73.96 (40),
641807,yuantian,17.68 (46),21.56 (46),34.15 (43),41.33 (41),49.64 (42),62.82 (46),
613648,weijian,17.68 (46),21.56 (46),34.15 (43),41.33 (41),49.64 (42),62.82 (46),
642256,baoqianyue,16.79 (47),20.17 (47),33.49 (44),41.00 (42),49.64 (42),60.91 (47),
656999,MICVCUMT,14.87 (48),17.14 (48),31.71 (45),38.69 (43),47.66 (43),60.84 (48),
646877,jianke,6.00 (49),5.41 (49),11.21 (46),14.44 (44),19.78 (44),27.55 (49),
641730,Heaven93,4.13 (50),3.16 (50),7.58 (47),11.01 (45),14.44 (45),22.68 (50),
659337,jjj123,2.30 (51),1.25 (51),4.09 (48),5.47 (46),7.71 (46),13.51 (51),
