submission_pk,User,mMOTA,mMOTP,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632888,madamada,33.63 (1),81.06 (2),59.76 (1),82.78 (3),209339.00 (1),76612.00 (2),42901.00 (5),16774.00 (1),5004.00 (1),10353.00 (1),
632747,DeepBlueAI,31.64 (2),82.38 (1),56.85 (3),84.76 (1),292063.00 (3),35401.00 (1),25186.00 (4),10296.00 (3),12266.00 (3),9569.00 (5),
621729,bdd100k,26.40 (3),78.92 (3),58.27 (2),82.90 (2),224083.00 (2),100868.00 (4),16047.00 (1),15739.00 (2),6506.00 (2),9886.00 (3),
621799,suntinger,10.87 (4),77.04 (4),29.60 (4),82.26 (4),472905.00 (5),85764.00 (3),16643.00 (2),2943.00 (5),19457.00 (5),9731.00 (4),
622878,zhaoxingjie,4.89 (5),75.57 (5),25.84 (5),82.26 (5),458285.00 (4),129602.00 (5),18188.00 (3),3083.00 (4),18757.00 (4),10291.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632888,madamada,44.59 (1),77.67 (2),44811.00 (1),9180.00 (2),7912.00 (5),1922.00 (1),1344.00 (1),2608.00 (1),
621729,bdd100k,39.35 (2),76.26 (3),46537.00 (2),16914.00 (4),4310.00 (4),1696.00 (2),1716.00 (2),2462.00 (2),
632747,DeepBlueAI,35.07 (3),79.47 (1),66847.00 (3),3022.00 (1),2672.00 (3),557.00 (3),3738.00 (3),1579.00 (3),
621799,suntinger,4.52 (4),72.94 (5),92624.00 (5),12324.00 (3),1714.00 (1),75.00 (5),4992.00 (5),807.00 (5),
622878,zhaoxingjie,-1.76 (5),73.82 (4),87273.00 (4),24086.00 (5),2324.00 (2),117.00 (4),4687.00 (4),1070.00 (4),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632888,madamada,67.18 (1),83.37 (3),140039.00 (1),49082.00 (2),38558.00 (5),15191.00 (1),2785.00 (1),7556.00 (4),
621729,bdd100k,66.47 (2),83.61 (2),153658.00 (2),66387.00 (4),12510.00 (1),14373.00 (2),3845.00 (2),7314.00 (5),
632747,DeepBlueAI,63.60 (3),85.24 (1),207061.00 (3),22217.00 (1),23179.00 (4),9817.00 (3),7670.00 (3),8045.00 (3),
621799,suntinger,37.86 (4),82.67 (5),355878.00 (5),59384.00 (3),15732.00 (2),2960.00 (5),13332.00 (5),9240.00 (2),
