submission_pk,User,Rank,MPJPE,MPJPE_PA,PCK,AUC,MPJAE,MPJAE_PA
1002392,isarandi,1.0000 (1),61.9366 (1),43.5779 (1),53.3411 (1),0.7000 (1),- (16),- (16),
996625,asilla,2.0000 (2),66.8947 (2),47.3447 (2),48.0982 (2),0.6720 (2),- (16),- (16),
1111026,wency,3.5000 (3),81.1265 (3),55.8119 (3),44.1759 (4),0.6320 (4),- (16),- (16),
674325,DJ_Walker,5.2500 (4),81.7641 (4),58.6131 (4),37.3293 (7),0.5991 (6),20.8089 (3),19.0901 (1),
856079,cheungbh,5.7500 (5),81.7903 (5),58.6255 (5),37.3321 (6),0.5991 (7),20.8199 (4),19.0935 (2),
663296,milo,5.7500 (5),83.1544 (6),59.7027 (7),42.4194 (5),0.6231 (5),19.6965 (1),19.1486 (3),
673745,rbr,6.2500 (6),83.1845 (7),64.1717 (12),46.9092 (3),0.6323 (3),20.1264 (2),19.9578 (6),
663383,mks0601,9.0000 (8),84.2889 (8),61.7517 (9),36.6064 (10),0.5966 (9),21.2543 (5),19.7324 (5),
663344,xuchen,7.7500 (7),85.0523 (9),59.3378 (6),37.1122 (8),0.5985 (8),- (16),- (16),
663222,root9527,10.2500 (9),85.7423 (10),61.1041 (8),36.1977 (12),0.5915 (11),21.5570 (6),19.2689 (4),
662073,Arthursy,11.0000 (11),86.0644 (11),63.1549 (10),36.3558 (11),0.5868 (12),22.2771 (7),20.5152 (7),
663402,redarknight,10.5000 (10),86.3765 (12),63.5519 (11),36.7535 (9),0.5932 (10),23.5012 (8),21.1888 (10),
663424,zenluo,13.0000 (12),91.5124 (13),67.6933 (13),33.9416 (13),0.5655 (13),23.5770 (9),20.6931 (8),
663405,nkolot,14.2500 (13),102.5690 (14),67.7212 (14),31.0222 (14),0.5313 (15),25.4248 (11),21.1392 (9),
663386,mohomran,15.0000 (14),102.6498 (15),73.9997 (16),30.8163 (15),0.5348 (14),25.3762 (10),23.9136 (13),
662381,wen_penn,16.0000 (15),106.6898 (16),71.8759 (15),28.6519 (17),0.5142 (16),26.8316 (12),22.0967 (11),
661280,kyang,17.5000 (17),126.4290 (17),83.3077 (17),26.9977 (18),0.4818 (18),37.2336 (14),32.8074 (14),
651626,CrazySea,17.2500 (16),131.4282 (18),93.4342 (18),29.8376 (16),0.5126 (17),33.6306 (13),23.5537 (12),
973569,zhlawliet,19.0000 (18),388.5612 (19),381.8573 (19),5.8885 (19),0.1576 (19),149.9856 (15),149.8082 (15),
