submission_pk,User,F1-score (Single + Multi distortions),F1-score (Single-distortion),Accuracy
632833,dhammou,0.967 (1),0.960 (2),0.900 (1),
632770,Nouar,0.967 (1),0.960 (2),0.900 (1),
632849,deepchallenge,0.953 (2),1.000 (1),0.860 (2),
632652,Zoubida,0.939 (3),1.000 (1),0.840 (3),
631879,Pin-Quei,0.912 (4),0.920 (3),0.740 (5),
632842,turppa,0.905 (5),0.880 (4),0.760 (4),
632832,sfezza,0.895 (6),0.960 (2),0.720 (6),
632806,alchet,0.894 (7),1.000 (1),0.700 (7),
632850,shouborno,0.879 (8),1.000 (1),0.720 (6),
632840,junaidmalik,0.877 (9),0.840 (5),0.700 (7),
632757,laakom,0.854 (10),0.480 (6),0.580 (8),
632782,tisbuet,0.819 (11),0.920 (3),0.700 (7),
632796,adak32,0.326 (12),0.280 (7),0.180 (9),
