submission_pk,User,P (all),P1 (GIF w/ text),P2 (GIF only)
642075,team.mojitok,0.6255 (1),0.6169 (1),0.6313 (1),
641345,YuHsuan,0.5824 (2),0.5580 (2),0.5986 (2),
642487,Yao,0.5662 (3),0.5282 (4),0.5915 (3),
642579,benson,0.5437 (4),0.5097 (6),0.5663 (4),
641727,soumitra.ghosh,0.5380 (5),0.5006 (7),0.5629 (5),
641804,petertay,0.5373 (6),0.5151 (5),0.5521 (6),
641576,NCTU_Team_Delta,0.5345 (7),0.5314 (3),0.5365 (7),
641429,thlin,0.4939 (8),0.4503 (8),0.5230 (8),
642346,william0228,0.4449 (9),0.4017 (9),0.4737 (9),
642630,wade1357991,0.4297 (10),0.3673 (10),0.4714 (10),
635879,RyanKo,0.4168 (11),0.3568 (11),0.4568 (11),
641762,shaoli,0.3598 (12),0.3417 (12),0.3719 (12),
637538,morris11,0.2570 (13),0.2211 (13),0.2809 (13),
