submission_pk,User,BCELoss,ExecutionTime
722280,BokingChen,0.267426 (1),7690.136991 (2),
723057,Iverson,0.369907 (2),11367.944871 (8),
726047,zz110,0.406031 (3),11012.356895 (6),
725567,jiashangplus,0.406351 (4),16389.270354 (9),
722686,miaotao,0.413182 (5),19823.474849 (12),
726763,musicbeer,0.416003 (6),10662.795602 (5),
725657,caiyu,0.423519 (7),16899.860808 (11),
726289,HFUT,0.432674 (8),21692.129476 (13),
725403,viva,0.466725 (9),7979.516423 (3),
726610,Deepware,0.476232 (10),11024.309480 (7),
721604,yupeipeng,0.520391 (11),10150.124021 (4),
723385,mertcan.alici,0.683552 (12),5158.487997 (1),
725278,xstju,1.764385 (13),16455.161069 (10),
