submission_pk,User,ROC AUC
671394,yampeleg,0.9954 (1),
706225,ngcferreira,0.9665 (2),
706096,team.elbit,0.9623 (3),
667958,eladdv,0.9592 (4),
704622,Shahaf,0.9566 (5),
699467,michaild,0.9566 (5),
706626,Michael_Nitzan,0.9562 (6),
705761,Matuzas,0.9551 (7),
692256,Galeros93,0.9541 (8),
706551,gsitechnology,0.9519 (9),
677971,kfir.gedalyahu,0.9409 (10),
702206,YDADON317,0.9352 (11),
706015,the_oak,0.9345 (12),
684148,camerons,0.9331 (13),
705211,Giltamir,0.9324 (14),
702627,Stefanfe,0.9252 (15),
705777,sasha123,0.9247 (16),
694058,RamV,0.9213 (17),
666545,Devkruth_V,0.9153 (18),
672949,O_Y,0.9149 (19),
678265,David_Cohen,0.9060 (20),
669472,HelloWorld,0.9032 (21),
686556,drkolenklow,0.9028 (22),
678298,yolo6766,0.9010 (23),
704797,rogueneuron,0.9000 (24),
665020,roeigo,0.8968 (25),
667225,hassonofer,0.8946 (26),
694659,shankarkumarj,0.8904 (27),
680806,slt,0.8904 (27),
699999,michael_nly,0.8893 (28),
683902,Saranjit,0.8875 (29),
670670,dmitrykonovalov,0.8829 (30),
706128,Amix,0.8822 (31),
706399,losinho,0.8811 (32),
672492,Gilad,0.8811 (32),
704411,JulioZanotto,0.8807 (33),
672530,JulioZanotto,0.8797 (34),
674426,pucha49,0.8775 (35),
696740,meirha,0.8761 (36),
703431,Basharh,0.8743 (37),
698447,nicolaslynn,0.8726 (38),
706715,moyrml,0.8697 (39),
667855,sgigi,0.8640 (40),
693283,zahilaty,0.8633 (41),
706656,shlomiaz,0.8626 (42),
664365,TomMarianer,0.8587 (43),
698422,alexgoft,0.8562 (44),
701886,Mengdi,0.8555 (45),
667554,tomerBucher,0.8540 (46),
666881,orsh25,0.8540 (46),
661480,mikelfried,0.8515 (47),
705980,IdoTam,0.8498 (48),
694180,Shahar_SS,0.8487 (49),
668126,activesource,0.8487 (49),
674392,Yves,0.8455 (50),
660543,IdoSpringer,0.8441 (51),
687797,shlomiaz,0.8426 (52),
674395,Pagey,0.8398 (53),
706070,mark_a,0.8377 (54),
667427,shai_g,0.8377 (54),
678289,Avinoam_Bar,0.8373 (55),
672984,DanielT17,0.8370 (56),
705875,roufa,0.8359 (57),
674681,Yatsir,0.8359 (57),
666070,elieisenstein,0.8330 (58),
671122,LiDer,0.8302 (59),
674317,BenAsaf,0.8298 (60),
687871,shimon.58,0.8277 (61),
672900,or.katz2,0.8252 (62),
681836,mkotyushev,0.8220 (63),
674086,bklynch,0.8216 (64),
664412,shomer,0.8216 (64),
666536,manelab,0.8209 (65),
674619,raphael13,0.8192 (66),
658400,it_b,0.8188 (67),
661249,erez.sharon,0.8184 (68),
706497,koren,0.8143 (69),
682471,Oshri,0.8142 (70),
687715,ozzy,0.8135 (71),
673554,IdanMish,0.8113 (72),
672831,ovedc,0.8103 (73),
674642,GalMazor,0.8099 (74),
704941,Natanel,0.8063 (75),
673674,sagihab,0.8053 (76),
694790,hershkoy,0.8031 (77),
706532,omerro,0.8014 (78),
705955,nevoit,0.8014 (78),
674932,Anyco,0.7996 (79),
661819,IftahG,0.7974 (80),
704537,nofteam,0.7949 (81),
668171,Mark_Popov,0.7932 (82),
684348,alexsamochin,0.7928 (83),
706537,Amitmu,0.7925 (84),
704989,SteveJB,0.7925 (84),
672678,BenAsaf,0.7925 (84),
699535,oferg90,0.7921 (85),
675026,Tomer2141,0.7885 (86),
685789,asdani,0.7878 (87),
678196,Ayush_Mittal,0.7864 (88),
675274,mimo,0.7843 (89),
659906,Yossico,0.7843 (89),
667102,Asaf,0.7818 (90),
657983,ronigoldsmid,0.7814 (91),
663335,levkap,0.7805 (92),
706489,santhanakrishnanb,0.7800 (93),
672465,Shellyga,0.7800 (93),
667091,OS1,0.7798 (94),
705508,nirp0109,0.7789 (95),
657363,AMSinitca,0.7771 (96),
699028,nirp0109,0.7768 (97),
664403,bdriggs,0.7761 (98),
662671,masterGogo,0.7748 (99),
698927,BelCos,0.7747 (100),
655704,satadru5,0.7739 (101),
678238,leogautheron,0.7722 (102),
706523,Azrik,0.7700 (103),
690551,danielhen,0.7700 (103),
674306,omerET8,0.7647 (104),
706028,polymathAB,0.7625 (105),
697538,benai,0.7622 (106),
672522,shimon.58,0.7618 (107),
693181,inbar_sh,0.7615 (108),
657462,matants,0.7522 (109),
657998,gilp,0.7515 (110),
668257,yolis,0.7483 (111),
669230,yarin,0.7476 (112),
655583,eyalshalom,0.7472 (113),
684018,yurisman,0.7458 (114),
666342,omrikr,0.7458 (114),
670080,FanaTiCk,0.7447 (115),
660164,Misgerot,0.7437 (116),
663702,E_K,0.7419 (117),
699982,margarita,0.7415 (118),
668766,eitan3,0.7376 (119),
668285,psidemus,0.7373 (120),
674182,akavish,0.7367 (121),
657519,nathaniels,0.7366 (122),
656038,ido.benshaul,0.7362 (123),
705237,Shanmukha-Y,0.7344 (124),
653104,ip01,0.7341 (125),
678689,Mayab,0.7337 (126),
655692,noufalsalim,0.7323 (127),
659924,chiranjibpatra,0.7319 (128),
665377,karini_k,0.7312 (129),
706533,daniela-gingold,0.7309 (130),
664383,AmirGlick,0.7305 (131),
660332,Nerya,0.7305 (131),
673226,SnowCapped,0.7302 (132),
698637,lianchaowei,0.7298 (133),
670662,Shanmukha-Y,0.7298 (133),
665827,motya770,0.7298 (133),
656978,boussoffara,0.7294 (134),
671062,dinesh123,0.7284 (135),
670468,guynat,0.7284 (135),
672149,liorBennaim,0.7280 (136),
704652,ashwinids,0.7277 (137),
661074,or1234e,0.7273 (138),
666705,shlomix,0.7269 (139),
661015,hemanth123,0.7259 (140),
658745,hemanth123,0.7259 (140),
663555,Micho,0.7213 (141),
667014,TomerPeleg,0.7209 (142),
681780,Torca13,0.7188 (143),
674507,G.Y.D,0.7188 (143),
683169,IdanTobis,0.7170 (144),
664156,adirsh,0.7170 (144),
663194,natanel20,0.7163 (145),
680185,If_t,0.7161 (146),
677294,Torca13,0.7159 (147),
683499,oronb,0.7156 (148),
677202,KOSH,0.7116 (149),
657866,dgedalin,0.7091 (150),
678550,ultrasat,0.7067 (151),
655526,NadavK,0.7059 (152),
667056,shirili.s,0.7033 (153),
667372,OS,0.7031 (154),
660618,nframd,0.6988 (155),
660537,Hr,0.6981 (156),
656208,dvir,0.6976 (157),
684462,inanikas,0.6954 (158),
660334,necohen,0.6953 (159),
667606,EladD,0.6910 (160),
666724,dan210,0.6885 (161),
666695,nitaivi,0.6885 (161),
658198,Kmeans,0.6880 (162),
672181,rotemgo,0.6878 (163),
692075,Yovel,0.6828 (164),
671081,nivgold,0.6814 (165),
673272,korenleven,0.6735 (166),
668526,adielsa,0.6727 (167),
665543,OS,0.6718 (168),
678690,avshalom,0.6650 (169),
664938,galn,0.6643 (170),
660360,nanaxttp,0.6611 (171),
662841,Melodyazran,0.6597 (172),
