submission_pk,User,Score,Computation time
749932,rl_agnet,33.49 (1),574.03 (9),
754014,lujixiang,33.38 (2),637.85 (10),
1138679,maze-rl,31.24 (3),1121.45 (13),
818901,TreeAgent,20.23 (4),993.78 (12),
732594,Anonymous01,7.84 (5),679.39 (11),
731646,UN_aiGridOperator,7.56 (6),482.29 (7),
1106629,gaetanserre,3.42 (7),560.75 (8),
1064321,pavao,0.00 (8),0.00 (1),
1056010,guyon,0.00 (8),0.63 (2),
868828,a_khanss,0.00 (8),0.71 (3),
731514,BDonnot,0.00 (8),0.97 (4),
732332,djmax008,-1.39 (9),1215.83 (14),
818918,liuyuecheng,-21.69 (10),231.21 (6),
1144760,anmold_07,-36.70 (11),9.18 (5),
