submission_pk,User,score
719272,myaunraitau,0.8000 (1),
718667,GuoweiXu,0.8000 (1),
718489,TabChen,0.8000 (1),
718462,haoyang,0.8000 (1),
715061,TAL_ML_Group,0.8000 (1),
661751,quantitative_quokka,0.8000 (1),
720795,hzlihang99,0.7600 (2),
720557,HIHI,0.7600 (2),
718893,whats_your_problem,0.7600 (2),
718733,Karl.K,0.7600 (2),
718476,RuiLv,0.7200 (3),
661439,xtalclr,0.7200 (3),
718465,bndl22,0.6800 (4),
720603,shshen,0.6400 (5),
708480,carykjim,0.6400 (5),
702595,son520804,0.6400 (5),
683785,drcarenhan,0.6400 (5),
682738,anlam,0.6400 (5),
680923,ml4edu.sb,0.6400 (5),
678769,arighosh,0.6400 (5),
718233,patty_0802,0.6000 (6),
682731,bchoffin,0.6000 (6),
649237,moonlightlane,0.6000 (6),
719028,ucieducator,0.5600 (7),
717592,huangye,0.4400 (8),
