submission_pk,User,F1-score
694551,Yusuf,0.9581 (1),
704494,Ozzie_kins,0.9099 (2),
703599,ayaz_baykov,0.8895 (3),
688783,a1d4r,0.8855 (4),
694649,a.abounegm,0.8842 (5),
703586,birdi7,0.8832 (6),
703672,dussolo,0.8791 (7),
698860,LevSvalov,0.8790 (8),
696172,whoorma,0.8788 (9),
699609,tootiredone,0.8778 (10),
703799,Asanali_Fazylzhan,0.8753 (11),
703519,rusya_ink,0.8738 (12),
701311,user521,0.8731 (13),
684434,Dmmc,0.8731 (13),
703475,Ravida,0.8726 (14),
703486,Alisa,0.8692 (15),
699975,nikololiahim,0.8686 (16),
704508,trnsprntt,0.8653 (17),
702943,Cendien,0.8611 (18),
703282,IamMaxim,0.8601 (19),
689059,JudicatoR,0.8600 (20),
702828,MatrosovaTalia,0.8594 (21),
689204,Daniil_Burakov,0.8522 (22),
701145,kezzyhko,0.8513 (23),
698667,Bekzhan,0.8513 (23),
704516,unaimillan,0.8509 (24),
702276,hany606,0.8508 (25),
704492,rufusnufus,0.8498 (26),
703215,artembakhanov,0.8496 (27),
696861,Alexander_Krivonosov,0.8441 (28),
696449,RufinaSirgalina,0.8433 (29),
704525,Ahmad_Hamdan,0.8399 (30),
702673,k.fedoseev,0.8386 (31),
704489,Kalra.utkarsh,0.8377 (32),
689039,KamilRizatdinov,0.8374 (33),
703969,Dantara,0.8360 (34),
682965,IvanAbramov,0.8353 (35),
702291,usmanovdanil,0.8344 (36),
702737,n.tupikina,0.8340 (37),
696865,Shuva,0.8338 (38),
696921,shooting_star,0.8327 (39),
702859,amuna,0.8320 (40),
698873,vanishmax,0.8317 (41),
694381,miserable_python,0.8316 (42),
701532,sham1lk,0.8299 (43),
696045,valentun,0.8295 (44),
702849,maevgor,0.8285 (45),
694431,MatveyPlevako,0.8272 (46),
699604,vitalykorbashov,0.8268 (47),
696917,qazybi,0.8265 (48),
684405,Maxitosh,0.8258 (49),
699574,v.stepanov,0.8254 (50),
687837,Winner_OK,0.8254 (50),
691089,hussein77,0.8249 (51),
703827,galimzhanov_daniyar,0.8239 (52),
695024,Salimiska,0.8239 (52),
703046,AlexLann,0.8238 (53),
693505,pfh_hbq,0.8237 (54),
694344,R0ach,0.8232 (55),
702829,Safinsaf,0.8223 (56),
704198,DinarZayahov,0.8206 (57),
692259,tagirium,0.8199 (58),
704028,a.musabekova,0.8193 (59),
699883,zavideevaa,0.8192 (60),
704505,ma.magomedov,0.8179 (61),
703491,anessard,0.8177 (62),
698881,validolchik,0.8164 (63),
701897,Elraen,0.8163 (64),
694464,VladislavKantaev,0.8161 (65),
691621,Andrey_Feygelman,0.8157 (66),
702370,AlinaBogdanova,0.8151 (67),
698832,lok52,0.8148 (68),
697441,yuloskov,0.8139 (69),
703499,psnjk,0.8129 (70),
699973,l.chelyadinov,0.8124 (71),
699571,PolinaTurishcheva,0.8116 (72),
704517,AyazbayevD,0.8113 (73),
694419,bogotolec,0.8112 (74),
700916,nmaria,0.8106 (75),
698851,nkt929,0.8105 (76),
698271,Mexator,0.8099 (77),
701934,screemix,0.8096 (78),
697437,l0lkek1337,0.8094 (79),
700126,DmitryPodpryatov,0.8092 (80),
701909,temurbek_khujaev,0.8077 (81),
702061,nbadyuk,0.8067 (82),
703470,MGudkov,0.8064 (83),
697432,repeating,0.8049 (84),
704513,is3ny,0.8045 (85),
701548,elamboatonge,0.8042 (86),
693585,KamilHayrullin,0.8031 (87),
699567,BulbaWarrior,0.8026 (88),
704521,jkhacker,0.8023 (89),
698243,frodan,0.8022 (90),
703590,gapurinov,0.8019 (91),
702749,paukovaa,0.8011 (92),
703873,sgmakarov,0.8003 (93),
696877,tracy2811,0.7957 (94),
699605,R.Muravev,0.7931 (95),
695981,khaledismaeel,0.7919 (96),
704509,zhandos,0.7915 (97),
703607,idel,0.7866 (98),
703515,gosha2st,0.7837 (99),
704497,pain122,0.7761 (100),
703356,Anatoliy,0.7743 (101),
682962,i1i1,0.7521 (102),
703550,annastrcv,0.7452 (103),
701893,marko453,0.7447 (104),
703002,t.lysenko,0.7442 (105),
703451,YuliaChukanova,0.7372 (106),
704137,a.ahmetshin,0.7371 (107),
701266,CrazyDream,0.7346 (108),
696591,Silver7k,0.7337 (109),
704502,maril647iv,0.7138 (110),
700127,ceevarouqa,0.7013 (111),
704486,MatveyPoltarykhin,0.6818 (112),
703680,dzekegor,0.6818 (112),
697424,margar1ta,0.6714 (113),
703842,FarkhodKhakimiyon,0.6590 (114),
701105,a.minakova,0.4997 (115),
