submission_pk,User,f1,recall,prec,acc
1107904,thiffany.pratama,0.968 (1),0.973 (1),0.965 (4),0.000 (1),
711427,cahya,0.966 (2),0.969 (2),0.964 (5),0.000 (1),
1141604,rocky.arkan,0.962 (3),0.968 (3),0.957 (6),0.000 (1),
1113017,wongjowo_hermawanwiwid,0.955 (4),0.947 (4),0.970 (1),0.000 (1),
1109841,marsathoriq,0.946 (5),0.932 (5),0.969 (2),0.000 (1),
1122657,wilsonwongo,0.945 (6),0.930 (6),0.968 (3),0.000 (1),
1112320,jalaluddin.almursyidy,0.935 (7),0.928 (8),0.953 (7),0.000 (1),
1113061,annisayasmiin,0.927 (8),0.929 (7),0.926 (10),0.000 (1),
1113014,AurellLayalia,0.924 (9),0.921 (9),0.929 (9),0.000 (1),
1112668,rizal476,0.916 (10),0.906 (10),0.932 (8),0.000 (1),
1111451,dimmasmulya,0.889 (11),0.890 (11),0.890 (11),0.000 (1),
