submission_pk,User,Pearson,Spearman,MAE,MSE,R2
775012,qusaibanyismail,0.7886 (1),0.7369 (2),0.0609 (81),0.0062 (80),0.6172 (2),
767725,DeepBlueAI,0.7882 (2),0.7425 (1),0.0610 (80),0.0061 (81),0.6210 (1),
852988,cs60075_team2,0.7845 (3),0.7355 (6),0.0635 (68),0.0066 (73),0.5928 (9),
770815,amsqr,0.7790 (4),0.7355 (5),0.0619 (77),0.0064 (79),0.6062 (3),
771242,armand.rotaru,0.7782 (5),0.7287 (13),0.0637 (64),0.0064 (78),0.6036 (4),
774907,abdelkader,0.7779 (6),0.7366 (3),0.0803 (8),0.0100 (8),0.3813 (74),
774264,tuqa,0.7772 (7),0.7344 (7),0.0635 (67),0.0068 (66),0.5771 (16),
774515,ochadai,0.7772 (8),0.7313 (10),0.0617 (79),0.0065 (77),0.6015 (5),
775041,ai101,0.7749 (9),0.7294 (12),0.0629 (75),0.0065 (76),0.5983 (6),
780120,sasi,0.7722 (10),0.7162 (34),0.0631 (74),0.0065 (75),0.5956 (7),
771939,csecudsg,0.7716 (11),0.7326 (9),0.0632 (72),0.0066 (72),0.5909 (10),
774772,krivas,0.7704 (12),0.7361 (4),0.0618 (78),0.0066 (74),0.5929 (8),
774153,ChangjieLi,0.7692 (13),0.7336 (8),0.0631 (73),0.0067 (71),0.5854 (11),
772640,ess,0.7656 (14),0.7308 (11),0.0635 (69),0.0069 (62),0.5747 (20),
773135,ismail2022,0.7653 (15),0.7245 (18),0.0641 (59),0.0069 (65),0.5766 (17),
855310,hareshg,0.7653 (16),0.7254 (16),0.0632 (71),0.0067 (69),0.5846 (13),
772526,andi_gpu,0.7651 (17),0.7275 (14),0.0629 (76),0.0068 (68),0.5810 (14),
774853,SGombert,0.7649 (18),0.7164 (33),0.0643 (56),0.0067 (70),0.5846 (12),
774742,rg_pa,0.7628 (19),0.7251 (17),0.0634 (70),0.0069 (63),0.5749 (19),
774785,ren_wo_xing,0.7618 (20),0.7229 (20),0.0639 (63),0.0069 (60),0.5715 (22),
853571,vipray,0.7604 (21),0.7183 (27),0.0640 (61),0.0068 (67),0.5776 (15),
855520,IITKGP_CS60075_TEAM_8,0.7599 (22),0.7196 (25),0.0735 (18),0.0089 (18),0.4490 (64),
855314,ravi_ghadia,0.7599 (22),0.7196 (25),0.0735 (18),0.0089 (18),0.4490 (64),
774624,gresmol,0.7588 (23),0.7089 (43),0.0649 (48),0.0069 (64),0.5753 (18),
768249,acccb,0.7586 (24),0.7207 (22),0.0635 (66),0.0069 (61),0.5730 (21),
