submission_pk,User,f1,precison,recall
762310,cccccent,0.9303 (1),0.9263 (1),0.9343 (1),
758184,xjj_yjd,0.9248 (3),0.9260 (2),0.9237 (3),
756203,flowerQ,0.9288 (2),0.9258 (3),0.9318 (2),
762597,Moyer,0.9172 (8),0.9200 (4),0.9145 (11),
762610,Wuhu_airport,0.9184 (4),0.9197 (5),0.9171 (7),
762531,Timothy-xie,0.9177 (7),0.9183 (6),0.9171 (7),
762614,WWY_LT_1803103,0.9177 (6),0.9169 (7),0.9186 (5),
762316,gogogo,0.9183 (5),0.9145 (8),0.9221 (4),
762592,ccyyds,0.9150 (9),0.9126 (9),0.9173 (6),
762688,Wicknight,0.9139 (10),0.9122 (10),0.9157 (9),
759937,nlp_tdj,0.9138 (11),0.9121 (11),0.9154 (10),
760368,sugar627,0.9073 (15),0.9098 (12),0.9049 (13),
762378,shaoyang,0.9098 (14),0.9090 (13),0.9106 (12),
761538,ferdinandsu,0.9110 (13),0.9076 (14),0.9145 (11),
762577,all_fairies,0.9116 (12),0.9069 (15),0.9163 (8),
762255,gouyuhang,0.9008 (16),0.9024 (16),0.8991 (15),
761610,mengmenge,0.8940 (17),0.8875 (17),0.9007 (14),
759566,LL_T1,0.8586 (18),0.8579 (18),0.8592 (16),
762569,Guiququ,0.8015 (23),0.8536 (19),0.7555 (24),
762600,bzsy,0.8138 (21),0.8498 (20),0.7806 (20),
759305,baiyue,0.8401 (19),0.8405 (21),0.8398 (17),
762242,Zbuer,0.7549 (27),0.8196 (22),0.6997 (25),
761952,hhh-algd,0.8116 (22),0.8194 (23),0.8040 (19),
762224,CristianoYang,0.8143 (20),0.8097 (24),0.8189 (18),
757590,yarimasune,0.7887 (24),0.8066 (25),0.7716 (21),
762081,Gggyz,0.7837 (25),0.8029 (26),0.7654 (22),
762219,cyy489,0.7769 (26),0.7950 (27),0.7596 (23),
762753,knoys,0.5690 (28),0.6105 (28),0.5328 (26),
762761,geekhch,0.3364 (31),0.4928 (29),0.2553 (30),
762649,Vivian1180300621,0.4225 (29),0.4323 (30),0.4131 (27),
762252,xxgjj,0.4106 (30),0.4106 (31),0.4106 (28),
762250,esmaerts,0.1409 (32),0.0945 (32),0.2771 (29),
