submission_pk,User,Prediction
822571,AsheLee,0.7025 (1),
822075,EVER,0.6921 (2),
822155,tulilin,0.6767 (3),
821366,jtmdl5,0.6736 (4),
821865,STUKA,0.6704 (5),
822508,Hots,0.6694 (6),
822527,baoqianyue,0.6452 (7),
822455,nywyy,0.6360 (8),
821292,BoDang,0.6281 (9),
819392,PeterShi,0.6062 (10),
822265,TaTa_yh,0.5991 (11),
779902,lyttok,0.5905 (12),
803002,yzr,0.5895 (13),
822472,SuperGeoAI,0.5856 (14),
782723,nyuo,0.5769 (15),
774684,what,0.5740 (16),
806172,fdasgdsag,0.5706 (17),
821490,vegligi,0.5661 (18),
820463,TangYang,0.5647 (19),
768914,nickjeo,0.5574 (20),
821160,oh_my_ghost,0.5539 (21),
809945,Linshan,0.5528 (22),
811679,Yuelushan,0.5464 (23),
784117,lixinwei,0.5462 (24),
817211,liuxinyu,0.5402 (25),
821222,Ag2S,0.5297 (26),
812974,tanrui,0.5123 (27),
816920,Nidora,0.5101 (28),
810608,dadah,0.5014 (29),
818987,xmj,0.4947 (30),
768548,randomless,0.4900 (31),
808262,Midkey,0.4745 (32),
821197,thang,0.4683 (33),
787166,Whu_DHH,0.4654 (34),
781760,loicland,0.4622 (35),
776681,sixii,0.4602 (36),
768596,huanianss,0.4403 (37),
775549,weilson,0.4077 (38),
811235,Vivian_Ondieki,0.3963 (39),
806132,raoxi36,0.3725 (40),
813339,yasuhiro,0.3641 (41),
768997,Lunhao,0.3562 (42),
775478,rolin,0.3122 (43),
815057,Hide_thesky,0.2906 (44),
802231,weiquanh,0.1388 (45),
764005,calebrob6,0.1388 (45),
766818,kgao314,0.0852 (46),
