submission_pk,User,avg,5-1,5-5,10-1,10-5
1131553,lance9865,0.9775 (1),0.9855 (1),0.9846 (1),0.9699 (1),0.9701 (1),
1143976,GM_GEN,0.9682 (2),0.9703 (3),0.9834 (2),0.9499 (3),0.9691 (2),
1147637,PPN,0.9680 (3),0.9717 (2),0.9815 (3),0.9539 (2),0.9648 (5),
1101655,liuyang00,0.9647 (4),0.9663 (6),0.9793 (7),0.9494 (4),0.9639 (6),
1129306,atry,0.9645 (5),0.9664 (5),0.9805 (6),0.9455 (5),0.9655 (4),
1077225,harbor,0.9645 (5),0.9667 (4),0.9810 (5),0.9438 (6),0.9664 (3),
968759,lzz,0.9625 (6),0.9664 (5),0.9814 (4),0.9376 (7),0.9648 (5),
932219,dongmanqing,0.9567 (7),0.9573 (7),0.9784 (8),0.9318 (8),0.9594 (7),
1068739,simile,0.9486 (8),0.9482 (9),0.9735 (10),0.9216 (9),0.9512 (8),
1100810,SUleisure,0.9365 (9),0.9490 (8),0.9716 (11),0.8878 (10),0.9378 (10),
759904,lfc,0.9304 (10),0.9239 (10),0.9746 (9),0.8736 (11),0.9497 (9),
901656,xpxpx,0.9213 (11),0.9206 (11),0.9650 (12),0.8689 (12),0.9308 (15),
1147204,jackP,0.9129 (12),0.9107 (12),0.9605 (16),0.8460 (15),0.9342 (11),
793677,YiHan,0.9119 (13),0.9077 (14),0.9618 (15),0.8465 (14),0.9315 (14),
1117341,yigao,0.9085 (14),0.9096 (13),0.9509 (19),0.8578 (13),0.9158 (17),
1032171,leilou,0.9084 (15),0.9015 (15),0.9622 (14),0.8358 (16),0.9341 (12),
831371,hua_shuo,0.9065 (16),0.8987 (16),0.9630 (13),0.8305 (17),0.9339 (13),
915485,hiahiahia,0.8971 (17),0.8974 (17),0.9541 (18),0.8197 (19),0.9171 (16),
770906,wenzezhang,0.8936 (18),0.8856 (18),0.9548 (17),0.8209 (18),0.9133 (18),
858654,liyibing,0.8804 (19),0.8682 (20),0.9442 (20),0.8102 (20),0.8988 (20),
888180,mrwei,0.8761 (20),0.8745 (19),0.9434 (21),0.7825 (21),0.9040 (19),
809929,g1kyne,0.7851 (21),0.7573 (22),0.9017 (22),0.6507 (23),0.8306 (21),
826134,cliffwb,0.7840 (22),0.7637 (21),0.8943 (23),0.6518 (22),0.8263 (22),
1104476,ghsdfk43,0.3242 (23),0.2051 (24),0.8933 (24),0.1004 (25),0.0981 (24),
1133405,baichuanyang,0.2566 (24),0.6278 (23),0.1992 (25),0.1009 (24),0.0983 (23),
1026212,Boyoi,0.0000 (25),0.0000 (25),0.0000 (26),0.0000 (26),0.0000 (25),
