submission_pk,User,Accuracy
868036,ronixy,100.00000 (1),
857145,soso,100.00000 (1),
856927,DeepBlueAI,100.00000 (1),
844569,hungury96,100.00000 (1),
809833,overfitting,100.00000 (1),
870522,handsomeboys,98.88890 (2),
869546,astar_trek,98.88890 (2),
866919,shizhuo.liu,98.88890 (2),
849670,Ticuby,98.88890 (2),
866726,sufluo,97.77780 (3),
823839,catdot,97.77780 (3),
869517,WHU-HAVPR,96.66670 (4),
867795,Chz,93.33330 (5),
870876,zphyix,90.00000 (6),
869924,um,90.00000 (6),
861881,HaichaoShi,90.00000 (6),
869163,tqll,40.00000 (7),
814162,davinnovation,32.22220 (8),
