submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
818085,sumching,38.1891 (1),0.9315 (2),1.0300 (9),0.0 (2),0.0 (2),
957203,luxin,38.0447 (2),0.9321 (1),1.0300 (9),0.0 (2),0.0 (2),
838567,chenliangyux,37.9717 (3),0.9278 (8),1.0300 (9),0.0 (2),0.0 (2),
819185,liuzhen,37.9093 (4),0.9290 (5),-1.0000 (1),1.0 (3),0.0 (2),
838421,chengshen,37.8667 (5),0.9271 (11),-1.0000 (1),1.0 (3),0.0 (2),
830012,russell,37.6914 (6),0.9278 (9),-1.0000 (1),-1.0 (1),-1.0 (1),
836005,rxwang,37.6345 (7),0.9293 (3),6.8200 (16),1.0 (3),0.0 (2),
781997,Huayu_Li,37.6029 (8),0.9282 (7),4.4300 (13),0.0 (2),0.0 (2),
837973,npzl,37.5951 (9),0.9260 (17),-1.0000 (1),-1.0 (1),-1.0 (1),
817649,qinqinbaby,37.5694 (10),0.9293 (4),1.0000 (8),1.0 (3),-1.0 (1),
838147,noahtcv,37.5628 (11),0.9286 (6),0.6400 (6),0.0 (2),0.0 (2),
823259,SSSS,37.5088 (12),0.9269 (12),1.0000 (8),1.0 (3),-1.0 (1),
830537,cocZ,37.4534 (13),0.9260 (18),1.0000 (8),1.0 (3),0.0 (2),
888390,huy.nguyenbao,37.3813 (14),0.9269 (13),1.0300 (9),0.0 (2),0.0 (2),
834072,mabdullah,37.2697 (15),0.9227 (21),2.8000 (12),1.0 (3),0.0 (2),
824203,AlphaPanda,37.2439 (16),0.9274 (10),10.8000 (19),0.0 (2),0.0 (2),
786740,FeiFeiChen,37.2201 (17),0.9218 (23),-1.0000 (1),1.0 (3),0.0 (2),
838180,JoeyF,37.2021 (18),0.9226 (22),1.0000 (8),1.0 (3),0.0 (2),
837286,Noah_Terminal,37.1664 (19),0.9264 (14),0.6400 (6),0.0 (2),0.0 (2),
833613,ld909,37.1408 (20),0.9263 (16),-1.0000 (1),1.0 (3),0.0 (2),
825615,huangliguang,37.1175 (21),0.9263 (15),-1.0000 (1),1.0 (3),0.0 (2),
838638,akhilkashok,36.9949 (22),0.9217 (24),-1.0000 (1),-1.0 (1),-1.0 (1),
822687,Airia_CG,36.9484 (23),0.9207 (26),0.0010 (2),0.0 (2),0.0 (2),
832713,beom_k,36.9401 (24),0.9143 (34),0.0700 (4),0.0 (2),0.0 (2),
838592,Jaysss,36.9116 (25),0.9109 (36),1.0000 (8),1.0 (3),-1.0 (1),
825203,youqiangzhang,36.8954 (26),0.9182 (31),0.4000 (5),1.0 (3),0.0 (2),
802975,fishd,36.8305 (27),0.9217 (25),4.4600 (14),0.0 (2),0.0 (2),
836877,Minsu.Kwon,36.6747 (28),0.9118 (35),0.0200 (3),0.0 (2),0.0 (2),
837433,zbabby1,36.6243 (29),0.9200 (28),-1.0000 (1),-1.0 (1),-1.0 (1),
807043,hrishikeshps,36.5856 (30),0.9173 (32),-1.0000 (1),-1.0 (1),-1.0 (1),
838885,q935970314,36.5791 (31),0.9237 (20),-1.0000 (1),-1.0 (1),-1.0 (1),
839797,myungje.lee,36.5727 (32),0.9193 (29),-1.0000 (1),1.0 (3),0.0 (2),
785571,aaaSR,36.5489 (33),0.9205 (27),4.4600 (14),0.0 (2),0.0 (2),
900881,vaesl,36.4870 (34),0.9192 (30),-1.0000 (1),-1.0 (1),-1.0 (1),
786735,jzsherlock,36.3308 (35),0.9033 (38),8.4000 (17),0.0 (2),0.0 (2),
838629,GGoo,36.2221 (36),0.8869 (41),10.4300 (18),1.0 (3),1.0 (3),
837425,huangbin,35.9926 (37),0.9052 (37),-1.0000 (1),-1.0 (1),-1.0 (1),
816680,zbabby,35.6466 (38),0.9018 (39),0.7240 (7),1.0 (3),0.0 (2),
817373,qiuzhangTiTi,35.0726 (39),0.8548 (43),5.0000 (15),0.0 (2),0.0 (2),
833555,alexkeroro,35.0496 (40),0.9255 (19),5.0000 (15),0.0 (2),0.0 (2),
814745,xn1997,34.2512 (41),0.8778 (42),1.1000 (11),0.0 (2),0.0 (2),
771275,Radu,33.4651 (42),0.7930 (45),-1.0000 (1),-1.0 (1),-1.0 (1),
830420,pminhtam,31.9478 (43),0.9171 (33),10.4300 (18),1.0 (3),1.0 (3),
820232,sabarinathan,28.5326 (44),0.8091 (44),1.0000 (8),1.0 (3),1.0 (3),
836274,vishalchudasama,28.3424 (45),0.7151 (46),1.0500 (10),0.0 (2),0.0 (2),
902090,jieZhang,22.1607 (46),0.8913 (40),-1.0000 (1),-1.0 (1),-1.0 (1),
841278,TuningMan,10.4835 (47),0.4585 (47),-1.0000 (1),-1.0 (1),-1.0 (1),
