submission_pk,User,Harmonic Mean,BLEU,PINC
849371,mstarr2,0.133 (1),0.101 (9),0.535 (15),
848588,Eoghan,0.114 (2),0.105 (8),0.409 (18),
850840,luke-hayes95,0.110 (3),0.121 (7),0.342 (19),
849187,mufaddalr,0.109 (4),0.089 (11),0.633 (12),
848675,prakhargurawa,0.108 (5),0.127 (5),0.327 (21),
849151,gauthamsuresh09,0.106 (6),0.130 (4),0.330 (20),
846379,rishi0302,0.104 (7),0.148 (1),0.220 (22),
852724,Jamesor,0.095 (8),0.078 (14),0.505 (16),
848939,y.agarwal1,0.093 (9),0.088 (12),0.555 (13),
848667,sprabhu07,0.091 (10),0.095 (10),0.454 (17),
853423,sonal_singh,0.087 (11),0.079 (13),0.538 (14),
849296,Sashwanth,0.079 (12),0.134 (3),0.181 (23),
849244,conorcud96,0.076 (13),0.056 (15),0.660 (11),
852324,Devishree,0.066 (14),0.035 (16),0.925 (6),
849177,anks310,0.059 (15),0.122 (6),0.176 (24),
849138,xueyang,0.054 (16),0.028 (18),0.930 (5),
849103,Luke_Murphy,0.053 (17),0.030 (17),0.882 (10),
851764,PravinDurairaj,0.048 (18),0.026 (19),0.917 (8),
848537,Chandramouli224,0.048 (19),0.026 (20),0.911 (9),
848253,Saikrishna_Javvadi,0.048 (19),0.026 (20),0.911 (9),
848558,Shubhanker,0.045 (20),0.025 (21),0.921 (7),
850855,suryavikram,0.042 (21),0.022 (22),0.939 (4),
849015,Taha.Husain,0.036 (22),0.019 (23),0.947 (3),
849629,hasansyed,0.031 (23),0.016 (24),0.980 (1),
853522,eoinmc,0.030 (24),0.015 (25),0.963 (2),
849295,GN,0.000 (25),0.141 (2),0.000 (25),
776468,jmccrae,0.000 (25),0.141 (2),0.000 (25),
