submission_pk,User,Score,Duration
954132,ManKit,98.8530 (1),5172.04 (26),
785508,hzS,98.3260 (2),5146.09 (25),
786904,clmpt,97.8649 (3),565.42 (9),
787030,alice_lacan,97.0628 (4),1761.40 (23),
786962,yajing0,96.6900 (5),550.52 (7),
786925,JiangnanHUANG,96.1616 (6),578.50 (10),
786944,JzHui,95.8059 (7),596.56 (12),
787077,SuChips,95.3927 (8),603.75 (14),
787310,melinaverger,95.3840 (9),564.85 (8),
787316,alvaroarranzdom,95.3381 (10),1368.01 (21),
786932,you.zuo,95.1058 (11),581.36 (11),
786951,JiaxuanLIU,94.9854 (12),599.99 (13),
787021,rafaelmg07,94.3440 (13),1069.01 (16),
787309,Alpargata,94.2027 (14),1099.88 (20),
786789,damounayman,94.1011 (15),1073.34 (17),
786659,SalmaKertit,93.9576 (16),1723.89 (22),
785498,khadidja02,93.6640 (17),1073.90 (18),
786715,tle8,92.4484 (18),1078.75 (19),
784467,lukas_malik,92.4265 (19),761.64 (15),
785469,Ghania,92.3822 (20),490.23 (6),
787049,Yonuts,91.7768 (21),455.22 (4),
787055,Lucas__,91.3596 (22),2229.91 (24),
786624,Jordi_Baro,90.2313 (23),449.28 (3),
787363,Grimpow,84.2234 (24),389.60 (1),
784285,erwanc,83.8177 (25),391.72 (2),
786444,reference,81.4141 (26),459.97 (5),
