submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,0.80 (1),0.7923 (1),0.8052 (1),
827444,luo.ying,0.78 (2),0.7778 (2),0.7727 (3),
1147591,covid_classification,0.75 (3),0.7186 (3),0.7792 (2),
1081821,mromanello,0.74 (4),0.7122 (4),0.7792 (2),
824414,azpoliak_barnard,0.68 (5),0.6887 (5),0.6753 (4),
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
submission_pk,User,F1,P,R
986850,avc2687,- (-),,,
827444,luo.ying,- (-),,,
1081821,mromanello,- (-),,,
824414,azpoliak_barnard,- (-),,,
1147591,covid_classification,- (-),,,
