submission_pk,User,mIoU
858275,tehret,0.111559 (1),
857646,Aryal007,0.110053 (2),
858281,baoqianyue,0.107559 (3),
853581,LukeKS,0.105623 (4),
853749,aryan2305,0.093760 (5),
857865,Yusin,0.093247 (6),
857511,Younghwan,0.090611 (7),
858278,tqll,0.088751 (8),
858107,sina_sin,0.087216 (9),
858218,fdasgdsag,0.085926 (10),
857332,seven_,0.085419 (11),
857338,alpinist,0.083026 (12),
857148,weiquanh,0.078378 (13),
857913,cyx669521,0.077887 (14),
856958,lala23,0.075405 (15),
856467,avinash_nesac,0.075330 (16),
857907,chenchen23,0.059353 (17),
857356,LBeumer,0.053299 (18),
852323,adreaon,0.048524 (19),
857945,anindabitm,0.048524 (19),
854427,decluster,0.047259 (20),
