submission_pk,User,F1
878016,xjywing,0.7666 (1),
868676,hahalk,0.7548 (2),
875682,ChaTs_,0.7514 (3),
871241,fmplaza,0.7385 (4),
877406,spalenza,0.7102 (5),
866241,gamallo,0.7098 (6),
875605,zk15120170770,0.7053 (7),
864460,jorge.reyes,0.6925 (8),
877734,Grx1,0.6915 (9),
869093,GuanZhengyi,0.6860 (10),
875945,free,0.6855 (11),
867737,limca,0.6812 (12),
875614,zzwei,0.6737 (13),
870521,premjithb,0.6576 (14),
867736,sdamian,0.6542 (15),
865650,HongxinLuo,0.6316 (16),
869131,Maoqin,0.6226 (17),
867500,niksss,0.6119 (18),
877149,antonioneme,0.5835 (19),
865575,vitiugin,0.5118 (20),
876209,skblaz,0.4838 (21),
