submission_pk,User,correct
846441,BeibeiLin,81.4 (1),
851621,Haijunxiong,68.2 (2),
851260,hxhhust,66.8 (3),
849058,AlexFor,65.3 (4),
844709,YuChao_Yang,65.0 (5),
852611,dtdtdt,62.4 (6),
851953,ZhangYuxuan,61.1 (7),
850641,fuhui,61.1 (7),
852272,robots,60.9 (8),
852462,yunfeng,60.3 (9),
850371,XinWang,60.2 (10),
850943,yunfeng,59.0 (11),
846983,ZhangYuxuan,59.0 (11),
851603,YaoJun,58.8 (12),
840575,panfengzhang,57.3 (13),
851721,dempsey_gxd,56.9 (14),
842672,dtdtdt,54.6 (15),
840493,xusong,54.3 (16),
840456,huifu,51.9 (17),
849833,Shirlley,49.6 (18),
846613,chbwl1,47.1 (19),
852442,liguodong,46.0 (20),
841810,ctsu-ca,45.6 (21),
851602,YaoLX,45.5 (22),
850110,liguodong,45.5 (22),
845112,songlichen,43.4 (23),
852497,leonardogcapozzi,39.0 (24),
843053,dfstsdx,36.2 (25),
841320,YaoLX,34.6 (26),
840526,ioadjad,32.0 (27),
830149,spynccat,31.8 (28),
843452,djfos,25.1 (29),
843893,zhangchaoyue,22.9 (30),
848326,Shuxiao,21.0 (31),
849553,fcastro,15.7 (32),
852630,laxphy,14.9 (33),
852642,ucamehere,14.6 (34),
852441,chole_21,14.3 (35),
847675,Li_ming,12.6 (36),
847642,gonghewandou,11.3 (37),
844390,Lidx,8.9 (38),
850580,ZhenHuang,4.4 (39),
842004,sjtuicl,2.1 (40),
844967,Mage,0.0 (41),
841994,Felix_Ming,0.0 (41),
840583,timelessnaive,0.0 (41),
840496,zhulishun,0.0 (41),
