submission_pk,User,Overall,MIoU,Accuracy,F1
887568,Caoguojin,0.8240 (1),0.7570 (1),0.9750 (2),0.9860 (2),
887570,JIOJIO,0.8084 (2),0.7308 (2),0.9870 (1),0.9920 (1),
887519,DigitalEarth,0.8010 (3),0.7249 (3),0.9730 (3),0.9840 (3),
887319,Yu_Tian,0.7869 (4),0.7099 (5),0.9580 (7),0.9750 (7),
886816,wyndy,0.7854 (5),0.7017 (7),0.9750 (2),0.9860 (2),
887130,South,0.7606 (6),0.6747 (9),0.9510 (8),0.9710 (8),
887544,WZ_Z,0.7579 (7),0.6778 (8),0.9310 (12),0.9590 (12),
886317,kitabung,0.7489 (8),0.6580 (10),0.9510 (8),0.9710 (8),
887571,suting,0.7350 (9),0.6313 (14),0.9710 (4),0.9830 (4),
880613,rock4you,0.7345 (10),0.6381 (11),0.9490 (9),0.9700 (9),
885716,petillmann,0.7327 (11),0.6376 (12),0.9420 (11),0.9670 (11),
886927,BBYZ,0.7094 (12),0.6020 (15),0.9490 (9),0.9710 (8),
887024,sahilkhose,0.6578 (13),0.5223 (16),0.9670 (5),0.9810 (5),
886963,Zed1001,0.6233 (14),0.4747 (18),0.9620 (6),0.9780 (6),
884978,Skawakita,0.6159 (15),0.4796 (17),0.9170 (14),0.9510 (15),
883008,DPSoler,0.5204 (16),0.3433 (19),0.9150 (15),0.9520 (14),
886868,windyc,0.5198 (17),0.7099 (4),0.1520 (19),0.0000 (19),
886968,Dream_ing,0.5196 (18),0.7097 (6),0.1520 (19),0.0000 (19),
882374,gro,0.4685 (19),0.6367 (13),0.1520 (19),0.0000 (19),
882804,wyb,0.3811 (20),0.1340 (22),0.9460 (10),0.9690 (10),
886853,sudipansaha,0.3784 (21),0.1386 (21),0.9220 (13),0.9540 (13),
885777,Hasanberk,0.3349 (22),0.1155 (23),0.8040 (16),0.8900 (16),
883274,kaustubh.atey,0.2601 (23),0.2044 (20),0.3680 (18),0.4120 (18),
880828,yhtseng,0.2279 (24),0.0641 (24),0.5540 (17),0.6660 (17),
