submission_pk,User,Task 1 - Handwritten (Accuracy %),Execution time(ms)
867185,johntang,99.69 (1),31.00 (4),
867612,seungjae,99.14 (2),18.00 (7),
867547,lhl,97.80 (3),39.00 (2),
867732,QuocCuong,95.65 (4),32.00 (3),
867484,QuangNhat,95.33 (5),44.00 (1),
867722,datdoc,95.24 (6),25.00 (6),
867709,kota_cits,90.59 (7),29.00 (5),
867346,trandinhkhang0279,89.99 (8),25.00 (6),
866990,leo7753,87.79 (9),39.00 (2),
867703,gattal,81.21 (10),25.00 (6),
submission_pk,User,Task 2 - Printed (Accuracy %),Execution time(ms)
867185,johntang,99.99 (1),31.00 (3),
867547,lhl,99.80 (2),38.00 (2),
867709,kota_cits,99.24 (3),29.00 (5),
867732,QuocCuong,98.63 (4),30.00 (4),
867612,seungjae,95.06 (5),18.00 (7),
867722,datdoc,92.77 (6),24.00 (6),
867346,trandinhkhang0279,87.45 (7),24.00 (6),
866990,leo7753,87.41 (8),38.00 (2),
867484,QuangNhat,87.10 (9),39.00 (1),
867703,gattal,86.62 (10),24.00 (6),
submission_pk,User,Task 3 - Mixed (Accuracy %),Execution time(ms)
867185,johntang,99.84 (1),17.00 (3),
867547,lhl,98.77 (2),20.00 (1),
867612,seungjae,97.16 (3),8.00 (6),
867732,QuocCuong,97.09 (4),18.00 (2),
867709,kota_cits,94.79 (5),13.00 (4),
867722,datdoc,94.04 (6),11.00 (5),
867484,QuangNhat,91.34 (7),20.00 (1),
867346,trandinhkhang0279,88.76 (8),11.00 (5),
866990,leo7753,87.61 (9),20.00 (1),
867703,gattal,83.83 (10),11.00 (5),
