submission_pk,User,< Rank >,Classification (AUC ROC),Feature Selection (Balanced Acc.)
877172,qiud,1.00 (1),0.92 (1),0.95 (1),
877279,halwaa,2.00 (2),0.91 (2),0.94 (2),
876620,hem4,12.50 (10),0.91 (2),0.51 (23),
872010,cheny58,3.00 (3),0.91 (3),0.93 (3),
877058,brooksb522,17.00 (15),0.91 (4),-1.00 (30),
874679,wangy49,10.00 (7),0.91 (5),0.68 (15),
877353,wangj49,8.50 (5),0.90 (6),0.79 (11),
876463,songe3,9.50 (6),0.90 (7),0.76 (12),
875242,wangz45,8.00 (4),0.90 (8),0.84 (8),
876898,gridlj,12.50 (10),0.90 (9),0.67 (16),
876748,demasm,8.00 (4),0.87 (10),0.88 (6),
877460,lir13,12.50 (10),0.86 (11),0.70 (14),
877073,tumats,15.50 (12),0.86 (12),0.61 (19),
877709,allwej2,17.50 (16),0.85 (13),0.52 (22),
877655,allwej1,16.50 (14),0.85 (13),0.58 (20),
877148,karenmu,13.00 (11),0.85 (13),0.70 (13),
875783,xuz16,10.00 (7),0.85 (13),0.85 (7),
857261,campoh,16.50 (14),0.85 (13),0.58 (20),
876951,chaij,9.50 (6),0.84 (14),0.89 (5),
875823,wkx,12.00 (9),0.84 (14),0.82 (10),
875165,wangy69,11.50 (8),0.84 (14),0.83 (9),
876642,olyerickson,17.50 (16),0.83 (15),0.58 (20),
877766,ravins,22.50 (22),0.82 (16),0.26 (29),
877136,bramj,20.50 (19),0.80 (17),0.50 (24),
875863,monrok,20.00 (18),0.80 (18),0.52 (22),
877258,imayak,18.00 (17),0.79 (19),0.62 (17),
876826,crowlc3,21.00 (20),0.74 (20),0.52 (22),
977103,mink3,22.50 (22),0.73 (21),0.50 (24),
877219,cammic,24.00 (23),0.73 (21),0.44 (27),
877378,bedelm,25.00 (25),0.60 (22),0.42 (28),
877275,allwej,21.50 (21),0.59 (23),0.58 (20),
877318,hahms2,25.00 (25),0.55 (24),0.48 (26),
877221,potvij2,24.50 (24),0.54 (25),0.50 (24),
877638,boless,15.50 (12),0.52 (26),0.89 (5),
877072,chans7,24.00 (23),0.51 (27),0.54 (21),
877054,bearda,16.00 (13),0.50 (28),0.92 (4),
877259,charis2,24.50 (24),0.50 (29),0.58 (20),
877185,rosan2,27.50 (26),0.50 (30),0.49 (25),
877000,fordm2,17.00 (15),-1.00 (31),0.93 (3),
876938,brefot,24.50 (24),-1.00 (31),0.62 (18),
867307,wangz455,30.50 (27),-1.00 (31),-1.00 (30),
