submission_pk,User,mIoU,weight IoU,VC8,VC16
954102,jjRain,0.5885 (1),0.7178 (1),0.9477 (1),0.9259 (1),
954596,CharlesBLWX,0.5744 (2),0.7086 (2),0.9129 (4),0.8770 (5),
952861,BetterThing,0.5735 (3),0.7032 (4),0.9328 (2),0.9056 (2),
1014055,TimeTravel,0.5664 (4),0.6954 (8),0.9016 (7),0.8638 (8),
1007297,dhkim,0.5601 (5),0.7030 (5),0.8952 (12),0.8586 (12),
954477,Arlen,0.5562 (6),0.6963 (7),0.8997 (8),0.8621 (10),
954579,ustcvim,0.5549 (7),0.7038 (3),0.9094 (6),0.8746 (6),
953199,dajiujia,0.5483 (8),0.7017 (6),0.8987 (10),0.8637 (9),
954265,AaronZ,0.5476 (9),0.6922 (9),0.9161 (3),0.8800 (4),
952911,RAnsel,0.5447 (10),0.6831 (10),0.9121 (5),0.8811 (3),
954253,qjd,0.5217 (11),0.6652 (11),0.8978 (11),0.8652 (7),
954600,lengyu.yb,0.4985 (12),0.6557 (12),0.8887 (13),0.8546 (13),
1026378,ding0093,0.4513 (13),0.6420 (14),0.8995 (9),0.8592 (11),
1105527,Kawhi,0.4465 (14),0.6461 (13),0.8809 (14),0.8380 (14),
1026338,yun.liu,0.4463 (15),0.6346 (16),0.8651 (17),0.8186 (17),
1031523,sunguolei.eth,0.4401 (16),0.6358 (15),0.8711 (15),0.8285 (15),
952910,miao2,0.3659 (17),0.5852 (18),0.8682 (16),0.8264 (16),
953586,yanga,0.3531 (18),0.5920 (17),0.8593 (18),0.8102 (18),
953801,zoodaisy,0.3246 (19),0.5462 (19),0.7950 (20),0.7326 (20),
953457,lufeihuang,0.2719 (20),0.4856 (21),0.7614 (21),0.6844 (21),
954098,cby,0.2618 (21),0.5057 (20),0.7993 (19),0.7340 (19),
