submission_pk,User,Total Score,F1,BLEU1,BLEU4
871320,alala,48.23 (1),44.63 (56),58.96 (56),41.11 (56),
870696,alalala,46.66 (2),42.79 (55),57.19 (55),39.99 (55),
872220,DDD7788,36.30 (3),30.26 (42),50.58 (54),28.07 (52),
869861,lyq,36.03 (4),29.58 (41),50.48 (53),28.03 (51),
870236,jackey,35.28 (5),31.72 (48),49.09 (49),25.04 (41),
872296,sarara,35.23 (6),33.05 (52),47.91 (43),24.74 (37),
869763,zxxflyfish,35.10 (7),31.39 (46),48.90 (48),25.01 (40),
869781,sarara,34.92 (8),31.50 (47),48.53 (46),24.72 (36),
869557,passby,34.78 (9),30.47 (43),48.80 (47),25.08 (43),
869714,chochihun,34.70 (10),28.88 (39),47.18 (40),28.03 (50),
870297,string,34.56 (11),28.97 (40),49.86 (51),24.86 (38),
870857,LHS,34.24 (12),25.89 (33),48.23 (45),28.60 (53),
868239,minicar,33.87 (13),27.43 (36),49.19 (50),25.00 (39),
866515,DDD7788,33.54 (14),28.81 (38),46.68 (38),25.11 (44),
868088,kyrie_irving,32.52 (15),34.77 (54),40.63 (22),22.15 (24),
865755,JJXMJJ,32.07 (16),22.38 (20),47.40 (42),26.43 (48),
868840,zhouzimo,31.97 (17),22.50 (21),47.31 (41),26.10 (46),
871150,Jan_Lamb,31.88 (18),28.37 (37),43.08 (33),24.19 (34),
870234,james_harden,31.78 (19),34.50 (53),39.25 (20),21.59 (21),
872266,imsovegetable,31.52 (20),22.59 (23),46.90 (39),25.07 (42),
872469,jwanglvy,31.10 (21),13.73 (6),50.38 (52),29.18 (54),
872034,CarreyWong,31.00 (22),20.08 (15),46.59 (37),26.33 (47),
861940,gzsy,29.96 (23),23.41 (27),43.29 (34),23.17 (31),
861264,Jan_Lamb,29.92 (24),23.57 (28),43.00 (32),23.19 (32),
872508,infolab_TAMU,29.66 (25),19.67 (12),44.71 (35),24.59 (35),
866333,SmartX,29.28 (26),23.27 (26),42.09 (27),22.50 (26),
868933,YunHe,29.25 (27),21.99 (17),42.55 (30),23.22 (33),
862325,FuGuan,29.24 (28),22.60 (24),42.41 (29),22.72 (27),
870017,infolab_TAMU,29.06 (29),22.00 (18),42.18 (28),23.01 (29),
864944,WaterSky,29.02 (30),22.91 (25),41.79 (26),22.35 (25),
869403,RiverMount,28.99 (31),15.83 (8),45.79 (36),25.36 (45),
869981,zzw_tamu,28.91 (32),22.18 (19),41.76 (25),22.77 (28),
864334,eshaoliu,28.74 (33),24.00 (32),40.68 (23),21.53 (20),
862449,HH11122,28.72 (34),23.79 (30),40.70 (24),21.69 (23),
860720,chandler,28.67 (35),20.12 (16),42.87 (31),23.01 (30),
866580,JD12,27.96 (36),22.58 (22),39.64 (21),21.66 (22),
865328,bzG,27.75 (37),7.27 (3),48.16 (44),27.84 (49),
861412,TC_AI_Lab,26.33 (38),19.71 (13),38.14 (19),21.13 (19),
870673,wakeup,24.76 (39),17.59 (10),37.20 (18),19.49 (16),
865583,imsovegetable,24.54 (40),19.44 (11),35.09 (15),19.10 (15),
870294,genggui001,23.95 (41),20.02 (14),33.75 (13),18.07 (13),
866546,littlecat_121,22.69 (42),26.51 (34),27.58 (10),13.99 (9),
862480,CHUNYUYISHENG,22.31 (43),14.95 (7),33.78 (14),18.20 (14),
868376,shuangchun,21.64 (44),9.66 (4),35.19 (16),20.05 (17),
864268,Arwen,20.99 (45),6.17 (1),35.92 (17),20.90 (18),
870904,alalalala,20.93 (46),16.45 (9),30.44 (12),15.90 (12),
868151,melo,19.02 (47),12.29 (5),29.02 (11),15.76 (11),
869800,ailab,18.12 (48),32.61 (50),14.58 (7),7.16 (7),
870153,dd1123,17.92 (49),32.90 (51),14.03 (6),6.84 (6),
869712,wbd,17.16 (50),31.90 (49),13.16 (5),6.41 (5),
869994,cxkAS,16.51 (51),30.80 (44),12.57 (4),6.15 (4),
868679,ariliang,16.16 (52),6.37 (2),26.95 (9),15.16 (10),
866119,ethanhunt,16.12 (53),23.99 (31),16.11 (8),8.25 (8),
870016,lqqyzx,15.83 (54),30.99 (45),11.10 (3),5.39 (3),
869813,icujj,13.34 (55),27.33 (35),8.52 (2),4.18 (2),
864131,zh_anonymos,10.11 (56),23.58 (29),4.59 (1),2.16 (1),
