submission_pk,User,Overall Score,Score Symbol Rate,Score Modulation Type,Score Modulation Order
887312,Team_RGB_SebasSchn456,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887310,Aeraesch,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887307,quintero98,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887284,Aleayalag09,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887228,evelynccc,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887167,dovuscuhoroz,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887150,AtakanB,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887149,aviohnb2,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887127,juandrengifo,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
879198,egaznep2,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887050,SmasherOO,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886954,mr_drmz,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886938,rebaz,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886931,Yasser_El_Haddar,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886909,Alass,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886898,pia.abdul-hak,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886892,tobias.scheinert,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886772,fasdp,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886764,DavidContreras,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886422,ferass240,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
886183,DasBierGewinnt1,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
885677,akkvjoe,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
885676,adithya005,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
870967,stefan-baumann,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
882868,ishankapnadak,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
882848,Saketika,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
882836,sanketjh,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
882831,prak74,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
882827,NishantMittal,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
881582,rapplukas,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
881532,feudelle001,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
881531,INSIC,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
881504,mbrey,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
880139,cloud-sine24,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
877297,Nicortiz,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
876684,Team_RGB_3,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
876683,Team_RGB_1,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
876662,Wavemasters1,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
875088,yihsiang,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
875022,Luky22,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
873762,nizhf,120.00 (1),30.00 (1),30.00 (1),30.00 (1),
887234,Wavemaster0,100.00 (2),30.00 (1),30.00 (1),20.00 (2),
875587,cloud_sine8,100.00 (2),30.00 (1),30.00 (1),20.00 (2),
882409,janirsp,90.00 (3),20.00 (2),30.00 (1),20.00 (2),
887304,Ouagadougou79,80.00 (4),10.00 (3),30.00 (1),30.00 (1),
875580,cloud_sine4,80.00 (4),30.00 (1),30.00 (1),10.00 (3),
874880,ge46saw,80.00 (4),30.00 (1),30.00 (1),10.00 (3),
887300,iabhideshmukhis,70.00 (5),30.00 (1),20.00 (2),10.00 (3),
879907,Cimrmans_Tribute42,30.00 (6),30.00 (1),0.00 (3),0.00 (4),
879903,janskma,30.00 (6),30.00 (1),0.00 (3),0.00 (4),
886121,lukas99,10.00 (7),10.00 (3),0.00 (3),0.00 (4),
