submission_pk,User,mIoU Score,mBJ Score
929314,ACVLabNCKU,67.501 (1),33.860 (8),
955726,DPSoler,66.328 (2),39.488 (4),
956955,andre.vmatias,65.870 (3),43.585 (3),
929071,hawkeoni,65.401 (4),50.367 (1),
955276,Divij,64.865 (5),20.706 (12),
912000,HRHLALALA,63.331 (6),26.216 (9),
902827,zhangyu,59.878 (7),23.574 (11),
912034,zhangyu,59.689 (8),23.628 (10),
941803,statshiba,59.296 (9),36.188 (6),
919789,_dia,58.946 (10),37.013 (5),
941044,hyoshida-jr,54.670 (11),44.313 (2),
956211,neptuneai,49.845 (12),34.129 (7),
956638,ACVLabNCKU_jerry88277,45.675 (13),1.060 (15),
924241,yzr,30.873 (14),5.727 (13),
868898,pemo,30.873 (14),5.726 (14),
