submission_pk,User,bleu_avg,bleu_test,bleu_dev
903007,jieun0116,50.3680 (1),47.6701 (1),53.0659 (1),
909054,winimus,42.2786 (2),40.9180 (2),43.6393 (3),
909178,Sebeom_Park,41.7174 (3),39.6477 (5),43.7870 (2),
905817,chang-jin,41.1947 (4),39.7552 (4),42.6342 (4),
908206,Kangwon_Son,40.6328 (5),40.3961 (3),40.8696 (7),
909600,bjorn,39.9873 (6),38.6969 (7),41.2777 (5),
907756,JiwanChung,39.9300 (7),38.7746 (6),41.0855 (6),
909447,dillo,39.5764 (8),38.4437 (8),40.7092 (10),
903993,jaewoong,39.4134 (9),38.0376 (9),40.7893 (8),
909606,jiho,39.2293 (10),37.9961 (10),40.4625 (14),
908065,synlp,39.0965 (11),37.6806 (11),40.5124 (12),
909541,hk,39.0787 (12),37.6334 (13),40.5240 (11),
897145,cerberusd,38.9912 (13),37.6491 (12),40.3334 (15),
909293,eunjin,38.8752 (14),37.2496 (17),40.5007 (13),
911905,crazy8597,38.7447 (15),37.4335 (14),40.0559 (16),
910013,JangYA,38.7414 (16),36.7365 (19),40.7463 (9),
909517,yunjae2005,38.6603 (17),37.3691 (15),39.9515 (17),
909639,DonghyunKim,38.6180 (18),37.3404 (16),39.8956 (18),
911964,Jiyun,38.1684 (19),36.8700 (18),39.4667 (19),
