submission_pk,User,mae
909885,madupont,2.213 (1),
910107,acostalr,2.247 (2),
909908,mike.mirza,2.251 (3),
910016,NickLe,2.300 (4),
909868,ashish.kumar1,2.370 (5),
910036,tpeng,2.418 (6),
910084,RicardoLara,2.523 (7),
909837,Alta_Geothermal,2.657 (8),
907946,Artur_Davletshin,2.668 (9),
910132,Marie,2.688 (10),
910131,aigulakberova,2.707 (11),
910098,James_Hiu,2.714 (12),
908977,ctspalmgren,2.794 (13),
910108,myjabbar,2.803 (14),
907922,kevinplg118,2.808 (15),
907923,jimmyyih,2.828 (16),
910051,Chinedu,2.856 (17),
910023,GTXers_RD,2.856 (17),
907945,zenophilip,2.976 (18),
907882,trevormcleodabsk,3.164 (19),
906934,bingiceberg,3.186 (20),
909995,prayer,3.195 (21),
907699,chenqian0562,3.197 (22),
910012,skylogger,3.206 (23),
910043,omoafe,3.299 (24),
909959,GTXers_SM,3.423 (25),
909171,jw_geothermal,3.466 (26),
906033,mlis2,3.488 (27),
910141,Aysa,3.593 (28),
903330,deepthisen,3.697 (29),
902633,sercan.gul,3.730 (30),
908976,PayamAkto,3.734 (31),
910117,mahaly,3.781 (32),
906117,dtang61,3.830 (33),
909987,GeorgeTsai,3.926 (34),
909923,GTXers,4.081 (35),
909958,FreddyCarrion,4.109 (36),
910097,Softypo,4.129 (37),
905547,SeyideHunyinbo,4.213 (38),
905520,RaziehSolatpour,4.269 (39),
902726,Guche20,4.358 (40),
906154,PrinceIgweze,4.363 (41),
905385,osako22,4.459 (42),
909318,yiliuhalliburton,4.737 (43),
905514,jeremyz10,4.785 (44),
910145,SRutherford11,4.838 (45),
909931,dj153,4.985 (46),
909307,erm0rden,4.985 (46),
906313,Xiong.Lei,5.346 (47),
909897,ileanvm,5.513 (48),
909721,tanorak,5.813 (49),
910112,jhurtado,5.936 (50),
900784,svpoludasu,5.978 (51),
907098,Smn2,5.989 (52),
909855,paulina.wozniakowska,6.096 (53),
909201,sunnybamboo,6.831 (54),
907688,CristhianA,7.255 (55),
906967,leidy.tamayodurn,8.105 (56),
903710,jmfkwong,8.395 (57),
904496,akpopoola,9.316 (58),
906107,miral.shereen,11.312 (59),
900798,crblackw,11.312 (59),
896298,example_user,11.312 (59),
909394,oskrgab,55.072 (60),
909853,nmuhammedy,404.000 (61),
908035,HonggeunJo,404.000 (61),
906139,sbaljak,404.000 (61),
